"SURVEY_YEAR","NUM_MALE_GE25","CV_NUM_MALE_GE25","CI_NUM_MALE_GE25","NUM_MALE_LE94","CV_NUM_MALE_LE94","CI_NUM_MALE_LE94","NUM_MALE_GE95","CV_NUM_MALE_GE95","CI_NUM_MALE_GE95","NUM_MALE_GE78","CV_NUM_MALE_GE78","CI_NUM_MALE_GE78","NUM_MALE_GE102","CV_NUM_MALE_GE102","CI_NUM_MALE_GE102","NUM_MALE_95TO101","CV_NUM_MALE_95TO101","CI_NUM_MALE_95TO101","NUM_MALE_TOTAL","CV_NUM_MALE_TOTAL","CI_NUM_MALE_TOTAL","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE","NUM_FEMALE_MATURE","CV_NUM_FEMALE_MATURE","CI_NUM_FEMALE_MATURE","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL","GTOTAL","CV_GTOTAL","CI_GTOTAL"
1980,2732740559.843797897336933240230533767636,0.1405898420986658883267046928713173482157,753023305.057916357301075130639495916575,2559050107.555484519398784723961755589642,0.1480831899693357772941374061050214119764,742746514.307648415740706008297529423737,194200282.754999473875047427125183990947,0.1659384456081643041623967614123819595945,63161574.39177999266093775982982727440102,511758841.673506069083478832390895833806,0.174536929600025952829773860821172522811,175068801.165864730847602240285346214865,116202990.604225935610435491249362941152,0.1520363794467275535169051135481711569463,34627480.66580327766206019964268085007924,77997292.15077353826461193587582104979574,0.210564850913701857595120801238952821367,32190036.85906415326064844338859177430043,2753250390.310483993273832151086939580593,0.1406916981777631427992751416198657446341,759224566.925887517720459675832926548237,895748213.007843618974117006626716641576,0.2062054319308582697364364930507280337045,362027968.442570589761841931144742432923,4815290814.387673607491391641857285967674,0.3367191221602501395033250707539460640546,3177944972.095189561003885863026148104739,5711039027.395517226465508648484002609252,0.2887508652997143037755672104279235735868,3232172223.404952989102702686867306408614,8464289417.706001219739340799570942189853,0.2226932791447885695752813253883748688261,3694483117.476585556650688438245427392356
1981,1852839854.293620800095324732956798256866,0.1500068583274726486418654734321683707089,544759823.631975750910552299056963640419,1758721827.15857073735966100925913873604,0.1569990480976454567851594875450545781947,541190599.355596800075025378538128717007,94274199.36685630996891350104048388690459,0.099153095333698188829859188971555545895,18321254.20756674734617218643449058080491,362252474.831026539455863308353769467627,0.0970070322484014325663999795251981880421,68876433.51567337481700608102640599579663,46521585.31712311745187238878186856835366,0.0986930077742309613407069395411681728109,8999056.15548986631647044705986073692768,47752614.049733192517041112258615318551,0.113663494006346844934611930018691530496,10638348.76322531601708084691365592493043,1852996026.525427047328574510299622622928,0.1499934754634074173627872971824380158447,544757135.515328840177976524724436420411,241048745.559025214863755453187891026199,0.2600364918562391223152695850556387511014,122855681.516571588509243056610127841765,2745344303.290555625745223620219190251402,0.1536447057175015734623704107035100129218,826742930.441701739192862237724052951638,2986393048.849580840608979073407081277604,0.1475857170492522592873735477183700106993,863867960.630521315841909393593777824715,4839389075.375007887937553583706703900574,0.1283877166327516214180518407036819961358,1217783502.038365565048033604521135069234
1982,2236831555.178715644336324182275717198847,0.1120579512072407792691697429558669530832,491283332.087304735869955098391388683353,2062166745.691877866322579184788306028739,0.1153783670982410034013607403979711212311,466341686.332356067968567237410723118023,175612878.8783923112882165280222127174,0.1458782468231424473172870041629133438124,50211473.82507567583917014172131202005044,732820619.290161799301143481431376789285,0.1228795975543805272926319771479526429868,176495457.444736899019988310991256984823,79966787.5348323195614590706150168430522,0.1449721544780602675034654062650426214271,22722196.65220331306243412588667999548936,95646091.34355999172675745740719587434791,0.1533083179718163184731793871486379002763,28740149.11354137163258158493004876458444,2237779624.570270177610795712810518746151,0.1120004330412043262109003988754298221676,491239282.525201644898259499544394726718,80420081.04228525690198497902572210549989,0.2780852030342504614917092476785067313239,43832723.74676255339125336128711296419792,3760564729.576634897987152342085540498811,0.1592013541103591017160189535593224954808,1173426514.449783069327486268234876079272,3840984810.618920154889137321111262604319,0.156077510371968181159060349661494554102,1175003039.371175631037640621480123619501,6078764435.189190332499933033921781350465,0.1134962054018591461894020324570285900623,1352236725.974467345323200101756684486395
1983,2496356151.966924322326207865873553213555,0.0978575851591328256927898841836028019177,478803274.068111708019013872781617049765,2317558964.465840893756066038378039952811,0.1089800847666838449398900095355688762581,495032833.902579732028153866492636322859,240339007.668667426105910323531384248264,0.1070668059275248565590050081047100849932,50435366.58611524212692962723509638589945,843008074.671542877094239035523813408099,0.089844309805255543852222117490833202852,148449378.113079310899789462591310982661,107502094.760346124838790397463727826409,0.1156476996276632329500297812489185142292,24367445.12981063232961023582251917991245,132836912.908321301267119926067656421855,0.1080379025250977608250541155118703036967,28128786.03910726981760836864510196909693,2557897972.134508319861976361909424201057,0.1007954262952149274566033990010678831059,505335856.381088576984783410216020138878,200449728.564316075710500734077496848529,0.3730795811734012804515659669624127619359,146576053.527030144846643907597038432874,3206189920.127769366108388160415936379436,0.1619537779880342700669425747973495378168,1017738958.203218334156934398755721604982,3406639648.692085441818888894493433227972,0.1555945938119015918513300169121111668951,1038907236.307457773744870251559997267775,5964537620.826593761680865256402857429019,0.109905530474719647594137164158346961477,1284849915.65660328487028606262255034198
1984,2429711284.046070873287887166456875924078,0.1334278434995674995311954083368459661485,635414628.435391386403047422234291375795,2183129121.645131784209236102105600422897,0.1651679863457609637943310740396045030481,706742760.271635855272239945453088661796,384375382.410628855792495534849488145844,0.0997292453145980325960968425989066908636,75133594.93843118830238509771377487776751,827577798.16034401551227551780599945801,0.0822477812941674096019896997563828085512,133410217.984121165418863394246063806852,227084819.489991942925179985912843677301,0.1090919133929309505670220421895708923953,48555310.2228770564040821825816565526378,157290562.920636912867315548936644468543,0.0997271422166150690248879011603440361558,30744831.14192688463659618085964436995786,2567504504.055760640001731636955088568715,0.1409916868885318102469118999289169748964,709513710.596620912686013970188637095644,980785639.760643206510581492248271864335,0.2512365633561430534912016650459296598014,482962058.504139463497882038021327652017,1399609435.622159654707564213842731683047,0.1497930715721206412768616783267539284161,410917520.871804454825434483317285714549,2380395075.382802861218145706091003547379,0.1372822252180743258265392632846379437556,640500428.379526031387051706999419126828,4947899579.43856350121987734304609211613,0.1267362481294559606731676672686150115301,1229073328.485938892928867100865769323313
1985,919042064.840311396082906991128362846367,0.0890673093835446807498771465315367505422,160438943.694222542407004674736613861537,745059821.077059403594241276194764083791,0.1073262063350415957703910058128038970738,156730310.4141766756120072235231055982,183730008.118292271977158506012800337039,0.0824781397254954062143223447244461428567,29701270.19143995403562619308548843788885,354550328.151869779274247838756368297864,0.0793163578013970935201936638424720498426,55118415.74514105399121488944304525580824,126150992.722020769020005940033570609132,0.0856542091222472181862246878353121116171,21178512.4827184654160089379367499172572,57579015.39627150295715256597922972790672,0.0887071075470601461764246268839910414914,10011029.10597334085876968964705003521423,928789829.195351675571399782207564420829,0.0889940546605581515613945415150383978883,162007274.742059928801109128256697660885,269158327.651516339440380921695223671253,0.1616507599654329851504241657651838797536,85278910.50314955776771163149820469030661,197861733.83262065794553730183650745556,0.1498928949499237246232125470148714824698,58129813.44460624328520759131234191149272,467020061.484136997385918223531731126812,0.126524655363239451586570702045866535646,115815522.560918691857610770785574310446,1395809890.679488672957318005739295547648,0.0959870124837371657374483178416093353894,262600057.947088740147998714673178360785
1986,2103295692.507531479365477965166288852034,0.1514426706642123604260429464883248377719,624316285.064954135519487410064323309362,1923958153.951481344222880180006459699129,0.165558085440124284724806816912693549377,624312583.732841355597797823637522372505,186267719.00167575232820985866204507835,0.0968235951215813194917640017043652902836,35348816.00932391554259584664645734020714,374659715.922442868285029002526064455634,0.0812926896302223496800256361442946968928,59695908.16672362851327714061063939603348,128089304.730817595929369584102378309715,0.1019911457203223161509339557359710192463,25605390.89027055258358414923994057478952,58178414.27085815639884027455966676863306,0.0987348671793503627254700887922604181851,11258706.49124726743034450769187639077242,2110225872.953157096551090038668504777479,0.1509832805343004707999346080085556782945,624473296.934978219523044781838757761174,1171334793.298174591383395846241640873802,0.2248016272695911498688385300792705605493,516103216.51740288263617427931727183247,496031394.022858115177128795718369720884,0.1426316364903582045403903603525057741436,138669548.18094491873931963060721108616,1667366187.321032706560524641960010594686,0.1721811410120576350465357096089768343972,562694464.731004889871537653537514586018,3782194086.604019878926400296844237496868,0.1473841830241037014144235738137978560367,1092573747.565749998999407302711032962605
1987,7460634186.092212694086974991775740775365,0.1291093267379455665755363660229801887737,1887945415.336753509451660196415981503427,7053266106.164393744619201766893863631666,0.1363869452989917961005424874344386611713,1885467900.457325022843273794536568575263,411474788.230641996781270064617999233962,0.0945492566222863292915173171149666996551,76253085.27819898981366527355437605559425,930079491.43856268723785575727686520024,0.0816276575251859796126759330549850245836,148803611.988758435253915063279453971716,251536837.786522339212147435187630809851,0.0954704203724806401689998744952732507506,47068082.17958177044040076995876033857856,159937950.444119657569122629430368424111,0.1023150702397363588886693062613552250682,32073562.76203156845069495717897446457252,7464740894.395035741400471831511862865636,0.129037127445052204523017547414063434718,1887928295.383316604497477870454664493332,5302659278.221557008012993927046899343786,0.1639323524744989098138687253378733632763,1703783723.30519299755010838857549296065,3994382249.204032987811680023308038680796,0.1318770927928440048343707562620031438839,1032464336.315603640629728825554646434754,9297041527.425589995824673950354938024586,0.1121580994152739066375418587914051692137,2043767475.485821414575170876840400721347,16761782421.8206257372251457818668008901,0.1113878191064818095684738543634319583951,3659434441.075766370548414025411175084807
1988,6848346686.254225349726618062258478789211,0.0904010253263637817480345795696830877379,1213431221.966463902669886394781272293724,6351418378.719953957793205046526852343681,0.0968284395962355888805554304564449912605,1205395944.435239048809810126233098529564,499365611.753786711300273487984697273611,0.1327022621295454650309988645172867433698,129883214.766486394738432738685772500849,1180617860.082856124138391755930029014227,0.0982403433057443343480678962343313388809,227329235.619368710978739606123173447479,325554151.747820972572434933035394486974,0.1528952066245437262480441307605135174606,97560311.82596385533414869204287386875135,173811460.005965738727838554949302786636,0.1077139049799280404930366612573755351631,36694945.73151010659789862961433843613751,6850783990.47374066909347853451154961734,0.0903672108874835598568010241825924754022,1213409033.559003904962049094244838767986,1684518068.836468826635352406657254508651,0.1456494047800926202563553504382023846433,480884145.971991833613596485798540997556,5470222310.275607876924653350137753974649,0.1255410725479143298612604822070847142068,1346005648.778758054509180055190392283594,7154740379.112076703560005756795008483317,0.1011586324539619343547534883627829809888,1418576954.535672919185201511860283624608,14005524369.5858173726534842913065581004,0.0810899132686797304103035393899266454418,2225985242.567704805768922388843562127347
1989,6025340223.540870400190561155152636674246,0.0717320649356880112449473271576888528736,847131788.502307400682583926628403410667,5517912685.210816933508799671852175978729,0.0766969302651127812668591775185019445156,829485650.276126671097881426184102974748,508692574.060055832301812389182075892001,0.0944414345839143496076886438116851838852,94161646.65457490617216293614611097000538,1479610127.989737736546332820849252615538,0.0870459570739963345846795916122811938782,252436396.187000069742905339761882161797,277361321.986164158578881952376873221414,0.0890987004381472852584781387733688405068,48436565.34791655936862889460796164754702,231331252.073891673722930436805202670586,0.1095683893267020751006737714664886814376,49679321.6737046146874846431871343220914,6026605259.270872765810612061034251870721,0.0717083598218106919458668617148301913822,847029637.7341924230505305416975343489,1021441242.551038128667365243488997978987,0.173468364450767890420876203390663160693,347287973.786661822159312297969956307334,9158960915.88260234884246940067746590911,0.2657937881805404146599921872265168116675,4771414038.554699732681102648332847895405,10180402158.4336404775098346441664638881,0.2390079163092020589218953762685709415768,4769065545.870777984012381243867067883945,16207067140.4225652198773112833122406609,0.1533601515769717352929497369472307950885,4871615815.615790417575502214701115126934
