"SURVEY_YEAR","NUM_MALE_GE25","CV_NUM_MALE_GE25","CI_NUM_MALE_GE25","NUM_MALE_LE67","CV_NUM_MALE_LE67","CI_NUM_MALE_LE67","NUM_MALE_GE68","CV_NUM_MALE_GE68","CI_NUM_MALE_GE68","NUM_MALE_GE78","CV_NUM_MALE_GE78","CI_NUM_MALE_GE78","NUM_MALE_GE102","CV_NUM_MALE_GE102","CI_NUM_MALE_GE102","NUM_MALE_68TO101","CV_NUM_MALE_68TO101","CI_NUM_MALE_68TO101","NUM_MALE_TOTAL","CV_NUM_MALE_TOTAL","CI_NUM_MALE_TOTAL","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE","NUM_FEMALE_MATURE","CV_NUM_FEMALE_MATURE","CI_NUM_FEMALE_MATURE","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL","GTOTAL","CV_GTOTAL","CI_GTOTAL"
2010,6418450224.294502328762133880272258293244,0.1174559927218367665406544780009084506293,1477615467.947204989464779285611822592509,6801713478.716771812487806442908084623876,0.1143341615141356912769463556894008547915,1524229686.5990151611917468556399516079,5625960.54685329788482625098084187336236,0.3610699602935020543710411042317609287704,3981476.08847965356805016894315766397244,30813.0442298322373172785799748860352049,1,60393.5666904711851418660167507766290018,0,0,0,5625960.54685329788482625098084187336236,0.3610699602935020543710411042317609287704,3981476.08847965356805016894315766397244,6807339439.263625110372632693888926497248,0.1142032469001521611382617199659238660417,1523743722.762119604565614037565446863949,5959718585.867501547640801924911631126893,0.1147215267339070205276743379050862109644,1340067709.547315798904668973274145772028,454431279.124355596000485661896614887159,0.1545190642781898171034353425723394182958,137627860.21691118861677001923368907972,6414149864.991857143641287586808246014069,0.1135415861632656994120915393826675749127,1427414589.137741121992006183087418601972,13221489304.2554822540139202806971725113,0.1128089787481038996654718523170874403642,2923345303.646397835267746605823577606399
2017,7208598648.834199734637928022106909349728,0.2158967752582302263898233801245401798698,3050373876.731713015173788964702509431757,7314377544.786016506688319428129388548449,0.217815025820841607438672350485375331718,3122635414.210662443607216331113239330431,2149114.28505081542361567309883945847751,0.3089914906194183893482742033565051410448,1301553.73184070070116188263482595027136,228953.1185613407999776656194659614687239,0.445459888155674211605692903938650013789,199899.2839509662726245822737598518076471,59894.2703368268227428519736131417383364,0.6952906781606982165336781221405993904206,81622.09856724772425926774246143889946,2089220.01471398860087282112522631673918,0.3147274159549251613282688307053163161222,1288768.24052079893833462002365536366771,7316526659.07106732211193510122822800693,0.2177536896101537192831339967578958211686,3122673323.281801304614333197491958704631,4731722065.767056011842168695712859735222,0.2295261917499535254203919787626150740994,2128666126.502481588257964827643159310406,151238692.826709574273722958636297779663,0.1775942988177930209250166204250370337821,52643894.02909097716183125911517218686663,4882960758.593765586115891654349157514871,0.223127711668187691864394445398030610994,2135466766.051946154785594429677310710843,12199487417.6648329082278267555773855218,0.2192430864559380043979555574017819702383,5242320418.273268903590099378841801122091
2018,4333073557.889112116208771416430181606759,0.3586123087040011404602819411436792868125,3045631284.262594667812571592096275079962,4318731435.072755683735792991110282588406,0.3595905899753790989153308212548955132865,3043831361.978734585541809852293916947501,22786071.35393724246464818608988965057059,0.8667106568436048168389359582170885501096,38707904.50531014249475154060744975078058,4914073.57660963013480773898266215973761,0.9144800390175206692410093083339338759166,8807891.50430296614598398200202482896926,0,0,0,22786071.35393724246464818608988965057059,0.8667106568436048168389359582170885501096,38707904.50531014249475154060744975078058,4341517506.426692926200441177200172238983,0.3578620760144203148539737690601607608908,3045182357.089499214671780673533200726599,2290446353.971721542107933505875809144324,0.3694819411829247146971379990284985816528,1658705987.480015001425102052294550276661,92817990.98755154525941557643660264352512,0.5176380407953482860702033295142330843944,94170401.09049869361754838793809839798317,2383264344.959273087367349082312411787844,0.3621452535886033943504088347817136471234,1691652226.324947311596220238871434247149,6724781851.385966013567790259512584026835,0.3481755728643495469223099808059660841547,4589153356.048416117648981188543075390467
2019,2222289611.357303271308178238086456849715,0.1649065720822542657468897126271138393657,718281517.486558381794108881505637377162,2196398785.238688990782790565462499768904,0.1601721693890939031797375700496184670446,689531838.219492694329398229005279390755,199543159.462088662180428575870893230742,0.2494035890573977791358428934305942418722,97542889.07772720971860616501497170401412,65526318.93126422892811018419457124173688,0.3605415734752355570776527554380245912244,46304925.77777551648756368900898454906704,1447558.85064562725289523358541918592025,0.7124341296014125187030682068688804490635,2021329.04642081556566905602258708109202,198095600.611443034927533342285474044821,0.2490169643700128677818747735280567301835,96685163.63385937860787398201557560417981,2395941944.700777652963219141333392999642,0.1582481547641242637936451412018991667901,743140647.674896420244049314383952769525,868633032.823816433118600779997203581003,0.1619064268285379196705360178198373814615,275649050.316690816184937805348567407973,176759319.080004376578079937522586058843,0.2583905278379521217022291790146717661128,89518950.16442429166089313776570487306224,1045392351.903820809696680717519789639849,0.1521437288937190687987333946033072203253,311737785.528219658419902906589594049062,3441334296.604598462659899858853182639503,0.1496848255767029419987894798689421691551,1009626426.919234655530176853798095657656
2021,2109191917.378685051329592696172414993805,0.1626848524301634453795435062134489751198,672541808.618263940645876922978165941797,2234247105.090489661575565278098320625636,0.1640927361779979483622740953266489089518,718582492.713255978896687642474991147161,10522647.5763779157014319484990713678809,0.372760920703494751679373616326133330235,7687966.32566569775787145521632827179631,4246078.98594163728717025904894832084768,0.4041337384508024711058858536105142869508,3363328.19771813300311201815006615295729,262793.0821887143799251743688467601290285,0.4853097049461516980043860904106269850144,249970.625030633746845428903976215867734,10259854.49418920132150677413022460775188,0.3750404899458696307010316137778241509034,7541807.27829713898706071604178572609616,2244769752.66686757727699722659739199352,0.1633397848590169169525441115954945284022,718654008.578924141817161388866212748238,1962656123.886192835863810255735128210005,0.1643550142426112795853940108189244700908,632241855.381540404232580739638845615006,47249534.32175649152044098510971738674,0.178531747050667476316196751909244085775,16533662.14319557595383051823648711025714,2009905658.207949327384251240844845596746,0.1619934220082615356207703219670910706254,638159331.154271092417082082830568287319,4254675410.874816904661248467442237590269,0.1605343676538976346487413391454056653828,1338722388.248456637383798786344554450193
2022,3786070594.86366723959077096311200251936,0.1479770386483798910636417887430822572807,1098092968.893605642306911671821588654306,3885955597.972576225490154845276422452366,0.1441994453768176878573498528810213217297,1098291178.293707424141244341010670845019,5709377.80124820027012944967375461429467,0.5744914497371098687189546159700052430495,6428777.91106646455461271389818825789486,315376.4271834909373570459558503190002938,0.402304571671348623929115409729882138913,248679.6617684573968804582389866296136006,0,0,0,5709377.80124820027012944967375461429467,0.5744914497371098687189546159700052430495,6428777.91106646455461271389818825789486,3891664975.773824425760284294950177066671,0.1441364941708689538494023548414307338793,1099424654.347373477173228251584981882305,3246506424.850941703005605850173842305172,0.1470073785689954086275692489988530883047,935430382.088486931603206721560725231821,150949523.176133096717640195409865929789,0.2190470048137436311323076938793310231347,64807480.22239767520662546941200595135349,3397455948.02707479972324604558370823497,0.1443384669197687849038768569033375081367,961151822.612728158995619414291791542662,7289120923.800899225483530340533885301645,0.1412365667240850021542389034549655168441,2017801210.880086435699181573292003957661
2023,2863075712.209887141145854595357639259485,0.2303744357851739914308417775367306002169,1292775725.548752355108366154669319324787,3160402146.542566615966100996013607525519,0.2199271977504208684292859268763270322043,1362314440.192902415241726395797338802036,1680529.91190148848638194687738170403292,0.2974006381035109400139461095879186493873,979589.7095770178118081599587960189019184,169659.0474045462076961079420373751125666,0.506196210795196341000791971060522225658,168326.3031696756064060587472549288013988,31592.4854859818609156012599874065334306,1,61921.271552524447394578469575316805524,1648937.42641550662546634561739429749949,0.3035639749686073056639833202956791596846,981093.6792889053443470914134978570599682,3162082676.454468104452482942890989229554,0.219809289900454261406680954937252678897,1362308089.527249611859232099528533374558,2273562353.572969589126083714446703305551,0.2391918067320629705734808842010148588277,1065882274.655475119927745058495798242693,211314588.760897189636391430388653302648,0.2432063368861843707278255060741067255115,100730372.243770612004463718922720024149,2484876942.333866778762475144835356608201,0.2278946371738881640967600393730158828525,1109928653.222076896048031070928974510723,5646959618.788334883214958087726345837767,0.2216740579038742281107897675807575088786,2453497528.891604773506294116369622703139
