SURVEY_YEAR,NUM_MALE_LE119,CV_NUM_MALE_LE119,CI_NUM_MALE_LE119,NUM_MALE_GE120,CV_NUM_MALE_GE120,CI_NUM_MALE_GE120,NUM_MALE_GE135,CV_NUM_MALE_GE135,CI_NUM_MALE_GE135,NUM_MALE_TOTAL,CV_NUM_MALE_TOTAL,CI_NUM_MALE_TOTAL,NUM_FEMALE_IMMATURE,CV_NUM_FEMALE_IMMATURE,CI_NUM_FEMALE_IMMATURE,NUM_FEMALE_MATURE,CV_NUM_FEMALE_MATURE,CI_NUM_FEMALE_MATURE,NUM_FEMALE_TOTAL,CV_NUM_FEMALE_TOTAL,CI_NUM_FEMALE_TOTAL
1999,62522.56542,0.674199916,82619.30832,216415.4794,0.255366947,108320.1061,94578.7939,0.522244276,96810.73809,278938.0449,0.240616975,131549.7679,124036.3318,0.576660896,140192.7284,312189.4894,0.246146859,150615.1459,436225.8211,0.212529649,181713.4042
2000,130814.1144,0.433451814,111135.1657,309289.9745,0.262627222,159206.8152,246095.0616,0.295168618,142373.4968,440104.0888,0.165658712,142897.8704,66857.56471,0.677370912,88763.2444,270307.0849,0.341569395,180964.1099,337164.6496,0.326475511,215748.9626
2001,32777.53303,1,64243.96473,166278.9231,0.366586874,119473.1145,98861.17722,0.528093001,102327.4757,199056.4561,0.312988697,122112.7449,73309.05257,0.68503781,98430.16678,234623.1421,0.268958868,123683.7903,307932.1947,0.195858689,118209.9441
2002,154185.0299,0.464602846,140404.2152,276628.4292,0.314066277,170284.1353,276628.4292,0.314066277,170284.1353,430813.4591,0.236977014,200102.0584,30441.19201,1,59664.73634,182562.9377,0.320549353,114700.0457,213004.1297,0.27759868,115894.1439
2003,182130.9509,0.48387202,172731.0195,278190.1886,0.236483799,128943.4465,247355.9104,0.266043526,128982.5796,460321.1395,0.192036524,173261.0042,59354.61432,0.684681708,79652.4767,199468.8207,0.357605058,139808.8761,258823.435,0.28020633,142146.9712
2004,470410.5178,0.193598309,178498.5342,118211.3174,0.451066125,104509.3969,118211.3174,0.451066125,104509.3969,588621.8352,0.18034343,208061.9984,231974.2376,0.319327809,145188.6171,120142.0429,0.450762672,106144.8747,352116.2805,0.236644138,163319.4572
2005,364688.535,0.365032889,260921.687,364011.34,0.183372652,130829.4604,210148.65,0.286650912,118069.0322,728699.875,0.210401281,300505.9989,63943.41451,0.681430086,85403.0142,188788.2264,0.479071229,177268.2949,252731.6409,0.448163848,221999.7621
2006,394694.2385,0.291210717,225280.8164,506770.5689,0.209982397,208569.2812,328498.2262,0.288485366,185743.1851,901464.8074,0.184407833,325824.8562,60125.9688,0.690963207,81427.87121,596055.0225,0.193987598,226629.4725,656180.9913,0.165809077,213249.4983
2007,282411.2521,0.40024987,221548.7314,649549.1101,0.156311937,199003.268,464109.0734,0.172087281,156539.8462,931960.3623,0.160225368,292674.4365,94723.71643,0.542417189,100704.353,622140.3054,0.231829148,282691.3035,716864.0218,0.200039608,281066.3486
2008,301359.5248,0.387848585,229088.4561,747073.1709,0.142185119,208196.4682,419355.8292,0.25200618,207133.3104,1048432.696,0.161073054,330993.5413,162751.1328,0.41010392,130819.9601,806819.5786,0.161886204,256001.3997,969570.7113,0.14446879,274542.5062
