"SURVEY_YEAR","NUM_MALE_LE89","CV_NUM_MALE_LE89","CI_NUM_MALE_LE89","NUM_MALE_GE90","CV_NUM_MALE_GE90","CI_NUM_MALE_GE90","NUM_MALE_LE93","CV_NUM_MALE_LE93","CI_NUM_MALE_LE93","NUM_MALE_GE94","CV_NUM_MALE_GE94","CI_NUM_MALE_GE94","NUM_MALE_94TO103","CV_NUM_MALE_94TO103","CI_NUM_MALE_94TO103","NUM_MALE_90TO104","CV_NUM_MALE_90TO104","CI_NUM_MALE_90TO104","NUM_MALE_LE103","CV_NUM_MALE_LE103","CI_NUM_MALE_LE103","NUM_MALE_LE104","CV_NUM_MALE_LE104","CI_NUM_MALE_LE104","NUM_MALE_GE104","CV_NUM_MALE_GE104","CI_NUM_MALE_GE104","NUM_MALE_GE105","CV_NUM_MALE_GE105","CI_NUM_MALE_GE105","NUM_MALE_105TO119","CV_NUM_MALE_105TO119","CI_NUM_MALE_105TO119","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_TOTAL","CV_NUM_MALE_TOTAL","CI_NUM_MALE_TOTAL","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE","NUM_FEMALE_MATURE","CV_NUM_FEMALE_MATURE","CI_NUM_FEMALE_MATURE","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL","POP_TOTAL","CV_POP_TOTAL","CI_POP_TOTAL"
2010,934999.8851373644641124306772444592211155,0.4592746313986935115906886201305231915221,841666.5861043963187757091509537847682691,1007771.89816519979065748918279670559591,0.280788529672137887634215251545220447407,554622.7474801836091970221970789728141308,1131005.70646098754743281097018371237736,0.3968363834298638258494466044577388021786,879695.4598134122791775816799128335250504,811766.0768415767073371088898574524396657,0.2634182707882244332471333060494021780053,419114.6718424521500868068638528330433898,164084.8690059896745319849821000570772051,0.5230035967973088139729417670380655394577,168201.274273489800929651048591448698093,522373.2323892388780490338817503625425176,0.3545488518349666560396847507873141073788,363005.3863549327256578161042447789827911,1295090.57546697722196479595228376945456,0.3678246478695705088066193425497088088135,933677.8203654670418720083506101334527107,1457373.11752660334216146455899482176363,0.3418739947879447973821677605271081321223,976546.4203873464692108839849874141911033,647681.2078355870328051239077573953624606,0.2558059179025594398405594316462730455871,324734.1443220966000267616485447267447062,485398.6657759609126084553010463430533943,0.3138264817385708819120520017889562938502,298568.6728212898857867479699089634371408,455141.4230196793313117173096043049197994,0.3006381862487432113364549695589008867469,268192.4681304844162571570128165729480391,30257.2427562815812967379914420381335951,1,59304.1958023118993416064632263947418466,1942771.78330256425476991986004116481702,0.2822530944810678786348858680055340034444,1074772.56150699674303507809695205275579,1334798.44224471813291747085875494924425,0.2729076319355416675705035220342707628459,713982.2966891415805529528891072915435704,927510.7705285731645913497497769507716306,0.264502413057257479869649817197513551739,480844.5204051514808376074198406660289514,2262309.21277329129750882060853190001589,0.2409911778494541236827141990584678377879,1068585.26121797731582090304998383490956,4205080.99607585555227874046857306483291,0.2372303303441919633895240471561775743657,1955242.59749339164382345440035649028319
2017,1350506.71651575874738558893062047437232,0.5054550598208222188929845005643123224646,1337936.08824239426226898996917346612372,2748563.14712889359430956797955885540915,0.3513008084774149842262255970679485439769,1892522.01324571252546227026116017778279,1668482.94754779448149651138136213014351,0.449002350562202907467103594082147096685,1468339.42003094835041205145136983319244,2430586.91609685786019864552881719963795,0.3215935031837264378380275165319133747053,1532055.48383463261770893573805676910777,703461.5257835155051153687997814164907652,0.2962105235745638797917759335237464190313,408410.5054591175243310132470774106771463,1087689.40211346766897869469161203148228,0.3632484513242330304477982635657096695518,774398.9220454162525354582988138470319543,2371944.47333130998661188018114354663428,0.3693923547581334426642544345488186302982,1717309.18254441076457744202038650956042,2438196.11862922641636428362223250585461,0.3683989565508180491586282056143599722168,1760528.65569975272111519772773114489087,1727125.39031334235508327672903578314717,0.352424947548319038328881510698543136808,1193016.86717747746290724657658338791729,1660873.74501542592533087328794682392686,0.3576504952329720194304787706403709638098,1164264.14215144763144242241537253700021,894126.0055738835530412287346853067214829,0.4164496935819176492768253114465185332168,729822.662047940883693097657872693285732,766747.7394415423722896445532615172053751,0.3793047341128949883179651702161039859259,570028.8529834535297099381840083697755506,4099069.86364465234169515691017932978147,0.3335935665085400191506793916708846807798,2680149.73695455302097015780059506282801,2342964.08474570625347888663279245511904,0.4668241092913489955919882878813879429998,2143754.15904754869046335517266454814815,2393475.70798423193309349680415141415396,0.425655750438395502088604765131574977129,1996841.52933067250413123711041577250045,4736439.792729938186572383436943869273,0.3616281919543658837011060052348596103203,3357147.11074945253082205337256290741629,8835509.65637459052826754034712319905446,0.3416048150791331540829946287400075762885,5915775.17889964513769255506527174959369
2018,570591.2693427791927210559200288706013251,0.4967908078532776459263833970331137276077,555590.4153956197633366847841836081939961,1494133.12158061121390323910712657314558,0.7389982482458897897176084592567140667972,2164157.04860870012356166599986757208365,677657.5650305330287854167508212627907158,0.4953376156347004305877759646197459658834,657911.7936589207147075460597757055572813,1387066.82589285737783887827633418095619,0.7221205920090674489912031672517951478682,1963193.85424098098165759397954919678017,556125.1127605518123063569490620978818842,0.7990730157794374100461614710707177908948,870993.7591683375014591347676645408571371,663191.408448305648370717779854490071275,0.8259936769132633931594058268816231466477,1073672.14352454367394739698638964551107,1233782.6777910848410917736998833606726,0.5816873624862925555988669633153144340352,1406644.5517821200611482261399395186902,1233782.6777910848410917736998833606726,0.5816873624862925555988669633153144340352,1406644.5517821200611482261399395186902,830941.7131323055655325213272720830743055,0.6845745426443944350527632780530575795083,1114929.42473412746009932245075309008907,830941.7131323055655325213272720830743055,0.6845745426443944350527632780530575795083,1114929.42473412746009932245075309008907,532933.9694147979348228978919785021940085,0.6588062513616091200607090996700460995707,688156.4520023139311837728277790417967261,298007.7437175076307096234352935808802966,0.7662239198746681103646117977963117422768,447547.696626699023740846810842142750428,2064724.39092339040662429502715544374691,0.6058527070230690036876634244312032794933,2451800.96853508714643638516338078615474,107066.2956877538360643608307923921893908,1,209849.939547997518686147228353088691206,1808945.09106127565798149213745915515887,0.6620594944919393891876235498445908303645,2347353.37420133871944522039803215463194,1916011.38674902949404585296825154734826,0.6795265232745214681164806025715520085537,2551881.89013624658728206370424776221556,3980735.77767241990067014799540699109517,0.6247223935487419471935564577513165845427,4874235.37490074859140697431643178449693
2019,432611.0251575929625053990777128591979011,0.6814460191404427424712111710821701004114,577810.0794226189954075445080278398454476,447192.9986216807776032908624826468625689,0.3669796627326805526379505862118763747976,321657.0421887769623653080675396019092464,464236.0807007714863226488463922471311487,0.7003147707852005639069302435063439351733,637218.3135145140830528341231239989843391,415567.9430785022537860410938032589293214,0.3629324653134374591844944328632806371528,295613.2722499615404764846320767339554637,97763.2532462123232355138576616034690006,0.553994198514181367395713844626383875696,106154.1392474976981361817077664260584464,129388.3087893908470527636263409914022482,0.5868927879323079452310307451096921273824,148836.6479316537995843468619814702950353,561999.3339469838095581627040538506001493,0.6323669281456343215404942227314054518715,696563.9931587754501143575928632133097334,561999.3339469838095581627040538506001493,0.6323669281456343215404942227314054518715,696563.9931587754501143575928632133097334,317804.6898322899305505272361416554603208,0.3886642815675588254769160875600250860646,242097.8896468369525491321557938293242817,317804.6898322899305505272361416554603208,0.3886642815675588254769160875600250860646,242097.8896468369525491321557938293242817,187860.9991965546403348695353558517063011,0.445364066987178689683785519633283297178,163986.4157156872583668833202468916715932,129943.6906357352902156577007858037540194,0.4697397738268986505766327553054110914701,119637.8509049470553691930575900838928275,879804.0237792737401086899401955060604701,0.4513566171208373911252588161909900787258,778326.5210885349950552807011600958494315,193790.4114999744277437993300946416207858,0.5473710268316672751025113867496615579867,207907.5028044297961236862694034717113804,839942.5292879868541329372301875479683709,0.4221868171061679030275533877045195579318,695040.8194647107912334902283099484010748,1033732.94078796128187673656028218958916,0.4374892458368150389535611229053194004499,886404.2075375163885246638383334991316094,1913536.96456723502198542650047769564963,0.4354987026440239411243504143855283400721,1633352.0164396123439741712783176461168
2021,657440.4285262178051007600474139659081365,0.3801447161937594854801056109294685486783,489848.1100281492630688945026551955456371,226113.2003645105726983524574202002482058,0.4600975363467990872944873657683463850808,203906.8877894748769979729568870992621965,657440.4285262178051007600474139659081365,0.3801447161937594854801056109294685486783,489848.1100281492630688945026551955456371,226113.2003645105726983524574202002482058,0.4600975363467990872944873657683463850808,203906.8877894748769979729568870992621965,65644.7316246991201587069438153016553061,0.6931091550035021489597374979060081304624,89177.9703549806885847923850308469614721,65644.7316246991201587069438153016553061,0.6931091550035021489597374979060081304624,89177.9703549806885847923850308469614721,723085.1601509169252594669912292675634426,0.3838994472917097425838276176026047553904,544080.3069204778829643645281803696311045,723085.1601509169252594669912292675634426,0.3838994472917097425838276176026047553904,544080.3069204778829643645281803696311045,160468.4687398114525396455136048985929002,0.5175563535900037664638324716472493398157,162780.8920724107115888791135774600399909,160468.4687398114525396455136048985929002,0.5175563535900037664638324716472493398157,162780.8920724107115888791135774600399909,63661.0770694617802191041529831217759575,0.6941976713857573416056686070387818785559,86619.0080606780177751428689453362865428,96807.3916703496723205413606217768169426,0.7388718887118025570608354628427355958561,140195.3902364795904843687349858589968199,883553.6288907283777991125048341661563423,0.3436559752298276502310330954973014316836,595131.4286484211076870101754532429763152,673527.0810203452221630158598917066306292,0.362276982389619715606339712473161457974,478246.5826006895717895577809364948996001,560286.3196046073532607842384866846681317,0.3785909920949600066841516074608141637209,415753.9330488305910605264369660157379896,1233813.40062495257542380009837839129876,0.2955506618254658325895174970589691518877,714722.5595627133714235882448445879428056,2117367.0295156809532229126032125574551,0.2878817942892977398801299219427541936884,1194720.78246691037295882469047148066277
2022,2262898.40545910124196566726936263244144,0.5329139124653356708341800471211744678577,2363622.88381896712693202351159203036544,858407.8527663395143490216765613900877626,0.592392576290861207279816097114453366834,996688.3012407739453642001765630581539807,2480038.54395058865405874466115189015123,0.5340894071280210862220532584399375577823,2596142.13856269269723990254527107752804,641267.7142748521022559442847721323779755,0.599332355011809855114426235098838749872,753291.679203199512773126321914528791948,429017.7728854326735288607424263321710201,0.5930301555768239029989338743298516927911,498664.134134962457999677479853743245206,646157.9113769200856219381342155898808067,0.5923001922449247209987490238602670186606,750130.1320530924426054076141377201693089,2909056.31683602132758760540357822232226,0.5397710597346735998788116527100521381586,3077639.84549419425024218213612999437229,2909056.31683602132758760540357822232226,0.5397710597346735998788116527100521381586,3077639.84549419425024218213612999437229,212249.9413894194287270835423458002069556,0.6478272351187349305079213871054228171573,269502.5336614654124651092400477482901086,212249.9413894194287270835423458002069556,0.6478272351187349305079213871054228171573,269502.5336614654124651092400477482901086,183689.2251114639992212263297664958361807,0.7059121503305068464074511732372056111814,254150.1735463170521830062160122612738021,28560.7162779554295058572125793043707746,0.9999999999999999999999999999999999999965,55979.003904792641831480136655436566718,3121306.25822544075631468894592402252921,0.5425366667808210686618298917636675782836,3319109.26294590488926067457314697114567,1873329.47407534113391831721897769672139,0.5075079359975974243830477438713848243264,1863429.9666696245004415525780908348017,2036062.86199747345377996467987003335561,0.5337965029963604811860963671060610601062,2130212.74180542476532627211374448292372,3909392.336072814587698281898847730077,0.5118885426950211562290546216626542125592,3922299.36564137899553893278360415882432,7030698.5942982553440129708447717526062,0.5230131496143659841748411620013925684098,7207209.71895472302664200336340400360757
2023,1787269.43021945128234416460431770232412,0.3041034427616560261132809350751228270835,1065288.98226990102496866404102237096208,1656749.64687391972824977234214967901205,0.5773010722674395017904794498918515740692,1874628.96133327059189962997243567920799,1988424.32369568113238300052752630934741,0.2941923095491412275742284248061757517019,1146559.12253737437464373411778474772361,1455594.75339768987821093641894107198876,0.6253080191174171701414419726268624151562,1783982.34089423699572475272954945647044,612813.2651323851460135019186252412091782,0.4588885611402815121517763014227223062626,551177.4750691850086766443953526381201501,813968.1586086149960523378418338482324739,0.4269769923381081242114005652014034007814,681189.5253945213838079519359621040932185,2601237.58882806627839650244615155055659,0.2898561838546110715504761964998154303964,1477810.20956187142863060232981413080763,2601237.58882806627839650244615155055659,0.2898561838546110715504761964998154303964,1477810.20956187142863060232981413080763,842781.4882653047321974345003158307795785,0.7965662236436498037985352427244232620484,1315809.28422996675399357411370717555201,842781.4882653047321974345003158307795785,0.7965662236436498037985352427244232620484,1315809.28422996675399357411370717555201,642888.8772173866067156050364025958405323,0.8454574668922724220639930116962408048653,1065328.99518584050140779025730455524618,199892.6110479181254818294639132349390458,0.6740511309119863947600839844555707707597,264086.1674540861151018678775298271989839,3444019.07709337101059393694646738133617,0.3368763439298550790992774276489082381112,2274008.7680271415128047062980493702619,2065714.68165094763163004585148731768943,0.3404112783954365317412107286376053425805,1378257.44813880171364748591631702034804,561971.9744198336158200539056240897182455,0.2673327470323078044999168912684171238659,294457.6828865749076688476598107386150356,2627686.65607078124745009975711140740767,0.2912535669119645341370453193340663581558,1500033.29816287174281948120272247937266,6071705.73316415225804403670357878874388,0.2770259653620028128990057732464226208846,3296759.4785626604208963622632455837814
