SURVEY_YEAR,BIOMASS_MALE_LE119,CV_BIOMASS_MALE_LE119,CI_BIOMASS_MALE_LE119,BIOMASS_MALE_GE120,CV_BIOMASS_MALE_GE120,CI_BIOMASS_MALE_GE120,BIOMASS_MALE_GE135,CV_BIOMASS_MALE_GE135,CI_BIOMASS_MALE_GE135,BIOMASS_MALE_TOTAL,CV_BIOMASS_MALE_TOTAL,CI_BIOMASS_MALE_TOTAL,BIOMASS_FEMALE_IMMATURE,CV_BIOMASS_FEMALE_IMMATURE,CI_BIOMASS_FEMALE_IMMATURE,BIOMASS_FEMALE_MATURE,CV_BIOMASS_FEMALE_MATURE,CI_BIOMASS_FEMALE_MATURE,BIOMASS_FEMALE_TOTAL,CV_BIOMASS_FEMALE_TOTAL,CI_BIOMASS_FEMALE_TOTAL
2001,18.83148822,1,36.90971691,425.7969801,0.415996916,347.1752519,320.0262884,0.557852592,349.9138894,444.6284683,0.392095614,341.7002698,33.70790411,0.811485829,53.61283353,356.3008309,0.28585124,199.6241073,390.008735,0.244859553,187.1748346
2002,151.629863,0.479249661,142.4303783,731.5362727,0.317726433,455.5596843,731.5362727,0.317726433,455.5596843,883.1661357,0.261643102,452.9056812,19.07015553,1,37.37750484,228.7970632,0.340061265,152.4978369,247.8672187,0.305819297,148.5730541
2003,108.1329544,0.683080464,144.7724769,911.4095064,0.249935687,446.475772,851.6667223,0.274566918,458.3254338,1019.542461,0.214519015,428.6740387,23.37573579,0.720555821,33.01330409,300.0566373,0.378301056,222.4830155,323.4323731,0.342787828,217.3026143
2004,378.5829811,0.204701651,151.89326,400.5959979,0.474077458,372.2305237,400.5959979,0.474077458,372.2305237,779.178979,0.267217041,408.0914058,91.52015611,0.401558409,72.03134909,185.4759681,0.469632053,170.7267009,276.9961242,0.344985162,187.2967233
2005,260.0840182,0.390179535,198.8997443,906.7098854,0.204040329,362.6105512,647.9764756,0.315554402,400.7647857,1166.793904,0.193261191,441.9721191,20.9927309,0.736727573,30.31321044,237.6643015,0.508091399,236.6801676,258.6570324,0.474780328,240.6983305
2006,251.7757611,0.352234646,173.8209261,1214.988875,0.231921843,552.2936208,927.2658869,0.28591404,519.6319379,1466.764636,0.20007998,575.2016691,49.98281597,0.690910498,67.68595843,791.2210965,0.197196255,305.8106405,841.2039124,0.176088501,290.3276188
2007,179.514281,0.444122375,156.2635652,1575.523717,0.166329282,513.6292285,1276.079686,0.174814665,437.231787,1755.037998,0.151481988,521.0790254,44.52303402,0.55357366,48.30768666,763.6363302,0.245290182,367.1324894,808.1593642,0.226359387,358.5515386
2008,238.9101973,0.3549877,166.2279556,1878.660122,0.162424673,598.0758806,1343.742171,0.259913077,684.5420778,2117.570319,0.140496761,583.1230694,83.2602918,0.451722671,73.71670041,1074.30853,0.172216206,362.6261448,1157.568822,0.157969793,358.4073777
2009,588.0961152,0.278547909,321.0733684,1456.186992,0.236519786,675.0573913,1201.453921,0.29681235,698.9484689,2044.283107,0.163630444,655.6336284,93.84833686,0.446130529,82.06247194,1135.454208,0.17551349,390.603561,1229.302544,0.162659424,391.9169813
2010,630.0302108,0.293444075,362.3621192,2216.028266,0.200045694,868.8815461,1949.991724,0.233459937,892.2800916,2846.058476,0.148585902,828.8529639,26.10634987,0.7018136,35.91071112,1096.091931,0.269772406,579.5629013,1122.198281,0.260909864,573.8734973
2011,368.5874911,0.287570489,207.7499751,2046.836734,0.181773405,729.2385461,1478.653673,0.21396323,620.0999315,2415.424225,0.142235467,673.3756248,17.40025022,1,34.10449044,903.5141969,0.219226333,388.2252434,920.9144471,0.223186553,402.850014
2012,357.0027432,0.286813392,200.6906091,2333.547489,0.150125548,686.637185,1871.400333,0.167386792,613.9654901,2690.550232,0.141080279,743.9838102,35.47905941,0.789548704,54.90439296,713.9172792,0.238724496,334.0419034,749.3963386,0.224570435,329.8528329
2013,271.7035977,0.256748476,136.7285899,2290.431383,0.22494499,1009.833287,1934.655706,0.252103706,955.9583935,2562.134981,0.204327338,1026.087871,101.926184,0.37208532,74.33346404,734.2788281,0.37008945,532.6277419,836.205012,0.32437506,531.6383405
2014,4617.67308,0.959871896,8687.454246,1135.414836,0.402779906,896.3516695,1135.414836,0.402779906,896.3516695,5753.087916,0.762864843,8602.103879,2188.698327,0.982609545,4215.246299,886.4647023,0.594289536,1032.560725,3075.163029,0.866778641,5224.351835
2015,353.8979076,0.30262736,209.9144113,1375.782096,0.227281131,612.871049,1015.996532,0.246462203,490.793297,1729.680004,0.204330108,692.7143766,0,0,0,318.7737607,0.257653931,160.9812925,318.7737607,0.257653931,160.9812925
2016,39.01205803,0.734090734,56.13124499,722.0798461,0.263134714,372.4083768,449.9131115,0.3764265,331.9440668,761.0919041,0.23718734,353.8218736,23.0333668,0.695796405,31.41200627,451.856502,0.41692829,369.2478468,474.8898688,0.396880868,369.4104185
2017,78.23236045,0.555586216,85.19104941,2393.344411,0.206076373,966.6950039,2138.385114,0.224686081,941.7121267,2471.576772,0.194645235,942.9180566,18.78405633,1,36.8167504,404.0313956,0.286683241,227.0248986,422.8154519,0.268893488,222.8369503
2018,10.2154491,1,20.02228023,918.8762342,0.293975382,529.4489051,822.7032991,0.329779715,531.7692845,929.0916833,0.288605552,525.5563961,51.90429682,1,101.7324218,837.9411879,0.299433591,491.7791689,889.8454848,0.308418066,537.9110706
2019,81.68243628,0.601779647,96.34346216,498.3029414,0.318594182,311.1625795,339.8006673,0.440396328,293.3080539,579.9853777,0.280497879,318.8619501,42.30686044,0.563396701,46.71766934,586.302639,0.372399909,427.9445367,628.6094994,0.367293814,452.5333865
2021,1171.246585,0.232300596,533.2793085,1193.350616,0.254764034,595.8847205,887.2527552,0.279629069,486.2792565,2364.5972,0.153538227,711.5898816,64.31782673,0.961429215,121.2005938,2026.997872,0.380139137,1510.260795,2091.315699,0.395564269,1621.409543
2022,423.0033643,0.254539314,211.0351326,2334.585758,0.261616172,1197.100163,1753.829298,0.319586221,1098.57937,2757.589123,0.217403089,1175.03645,14.96026579,1,29.32212094,1549.907181,0.32338267,982.3777199,1564.867447,0.322139793,988.0479065
2023,223.8652385,0.407551082,178.8235797,1830.811126,0.214897795,771.1370573,1425.548018,0.262430379,733.2499301,2054.676364,0.197921777,797.0637869,56.56162718,0.461419243,51.1533015,1282.991889,0.18492992,465.0366317,1339.553516,0.17332978,455.0816512
