"SURVEY_YEAR","NUM_MALE_LE119","CV_NUM_MALE_LE119","CI_NUM_MALE_LE119","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_GE135","CV_NUM_MALE_GE135","CI_NUM_MALE_GE135","NUM_MALE_LE94","CV_NUM_MALE_LE94","CI_NUM_MALE_LE94","NUM_MALE_GE65","CV_NUM_MALE_GE65","CI_NUM_MALE_GE65","NUM_MALE_95TO109","CV_NUM_MALE_95TO109","CI_NUM_MALE_95TO109","NUM_MALE_110TO134","CV_NUM_MALE_110TO134","CI_NUM_MALE_110TO134","NUM_MALE_TOTAL","CV_NUM_MALE_TOTAL","CI_NUM_MALE_TOTAL"
1975,87494760.87976700093238759843496722065682,0.2667806502608132654704100108127867268775,45750142.03576046904163946245567927231226,46444267.78414589485240099702795655308063,0.1572366417325151242134787317676182132574,14313371.7604452946050593077943565473633,27390390.27346641363424329929516460973005,0.1634387017379476519505807194988227660362,8774233.65972647681565499769740897538898,55455266.94047117661765436334919262207689,0.3742992606957326569575182615343388748121,40683456.21830561671339554436033339274785,121694213.443131698489776185739998381943,0.1957166287283016812284128741472409963899,46682459.13403092782807829998283942498541,19004378.87226847279634873221398924879304,0.1785755982737481548796085579281793296634,6651687.92079519072225958646897455522514,32088992.57770683273654220060457729313737,0.2111080960849393058099252194760001303682,13277522.41159233898742862343923936108644,133939028.663912895784788595462923773737,0.2070543101732655109315577887536786824985,54356000.24315609271302345624696095045579
1976,157191515.846134354016261670756307225053,0.2866902047932496944537875904854588747829,88327925.02459164046080796609340114225475,88794316.84671511285781980137082899630338,0.2353636692632898087426769712338192216654,40961954.19662923578954869814663472789475,42995292.57896246833197038364826577824831,0.2152397203479882765879957776299951275357,18138417.71191260198685465363966939990048,72988870.33474298573273025848857781235932,0.4466684012412418891253825807654249615071,63899571.16081495600985544487916146800669,245512912.668318059113719880285876270641,0.2247165235401167452841872637644796535555,108134784.10930413476288104332710676954,54162532.33274159894184820032751275226992,0.2428234929472732502815821120611376767439,25777793.16429564050867938201118801363119,75839137.44640241386753262966277987847755,0.2401389036622463434275052324307228022793,35695377.54929619731354342602386433586178,245985832.692849466874081472127136221355,0.2249235904467582188911073150567454687451,108442912.709090073334207340408749628465
1977,205745898.449696919775667437896695924425,0.2969853213954262418055212050150533335436,119762883.08267298014777773704433546911,172063294.893734689311839608855923578749,0.3905766463035730184944263499838325221812,131719653.156213686529785715874050662323,80281779.59387735048516702751201868625585,0.4151642136904120057177336944725034067082,65327038.92156774643720694847214383005118,38236532.1159099744969575690915894633576,0.2418521387258862859012818317067735291128,18125270.65659997624471616472870755118633,376686657.657171525489528303261851473391,0.3210366248126199688712504845420846412178,237023217.844962184065281484625595668582,88987987.51875993242062641375569173310688,0.3548893748909459403711121347389907471664,61898546.87613858331355862979714843059737,170302894.114884351684756036393319620455,0.3754575496404366496302670929054609908447,125325354.349256467341322887088180375143,377809193.343431609087507046752619503175,0.3200933585492041892135424634925689411536,237031058.632606738899380003025898950434
1978,109940006.789514326947103972088617698557,0.2623653789127257204023911877542815303504,56535125.01643718685883569365561034701862,111327150.270746883664978389836066433093,0.1922723149771574407642661473126360507568,41954052.64863811083032435547578091469882,61893014.62258051365866550109921712671622,0.1913399887112821128948868087787999689738,23211513.08961587748426552868312585743416,50729610.44893835625089652368508428919639,0.4297999699027457221759462001729082355369,42735026.68649817202315602709425637370117,200597236.072115405975494039075583849858,0.1821944719080030628210588105708186773214,71633506.68503361441956728402225899027797,28655952.48740217986765906653614169624669,0.2714189534103018436804794424363997254078,15244426.52088782955569411380032359530086,79988579.50134016083486127060424101949072,0.2142313097586548264726688436557587435219,33586673.97852052795016242304905734949698,221267157.06026121061208236192468413165,0.1817444648783888064039805767642819480828,78819598.86795598348212797994112054810364
1979,36565022.8047480022742343305497272391263,0.2566024379299367332314686925728986064572,18390041.02953765800758190400067709572742,43483365.30374654282545643903596413211546,0.2238565101440870667767110000598670219243,19078707.43618567586087175727148618567624,26920958.33842039452876767399866793260076,0.218261264359796945262605139444043609467,11516572.71325326514798874465033088663303,23518112.2134465837875074496064348178694,0.3525158656988235822285743162779216992019,16249395.06558938913722888326030905535537,69283941.00054142772646203189983846089841,0.1870851134756427003819641339868157329271,25405508.1696870126416578304347581513626,7151511.37177122314334323301235349597333,0.3507356617794195747650868773307038815007,4916248.54445440029885428904578635118404,22457806.18485634364007241296823512479824,0.2633619167167954786759588312817804778771,11592480.52891221872897619749425794623963,80048388.10849454509969076958569137124161,0.1864720228817994501912358582281348639879,29256498.32367598133401037628094876451199
1980,127148372.552652313272111240731975949021,0.4933261764939613082614622394917731302572,122942216.138506213594476894426563883818,102286637.758460075383604168240429051738,0.3545799310119270887970451889396798314303,71086826.36128003001385624565206253009104,70728916.80651160416987977944213564766956,0.3092155258328182026766607779182825011062,42866139.23574583140913334525791794692851,58825773.03832913793254931674510139433163,0.4135092617245586219898069566967227138163,47677003.87973361800072917362752846036549,214589124.988857713489516076012908569414,0.4443034462589064252455703268282187648549,186871668.013976086030844920293527815417,47876652.32527895306318841136426342737805,0.6877947277346137668768807096848881032666,64541445.7397836012368960802960227623115,52003668.14099269349009790142090453137959,0.5172922490179218033516321499196364693061,52726145.1216780876832117506683672271837,229435010.311112388655715408972405000759,0.4185807122728184082307597384812679511956,188232657.271239844543590788301338271486
1981,84909909.33580997191629024834681728917559,0.1878651241692970384174207106188686074928,31265156.89472836062677604217516873447878,46869433.38538235645976485339905469785879,0.1605993129201027066647145586356919282636,14753309.64534798245133331245896034317103,23452279.2352007270213701087616667018228,0.152510560230730937794986625919467228447,7010371.67990208190473592373617457566395,37269759.49885817351380758633156978041321,0.2470681961934683346313080822150747478613,18048017.61381665173283917964091557603178,128366282.82735594384760580613840874754,0.1692504535783529600359150622820946073676,42583061.12168638250369887127796073944138,28160575.21399241909946315715058570145791,0.1932122154497776291629152082265462765204,10664295.56585371924433692969990077774496,42896728.77314100874141424950204980334033,0.187970202664774745961318720746301143295,15804081.33024065153827386291186050077051,131779342.721192328376055101745871987034,0.1656214171328951297861919256872859898488,42777943.72103767073011721208653722412769
1982,180111692.665995379674516699218092399112,0.3770352414397960314882589317884947726115,133100572.839689659953627024131965132698,41544176.19070613732160841507097507509701,0.3398143931105412429268167088525628624259,27669925.6782635182089043293022337233654,12960914.8283342186466995663715393670184,0.2363012145686866645106379169219514958606,6002852.63507908669790926136468183626211,105962645.257635782716774360624248377499,0.3815802983994760693318893243130851308238,79249185.28134871994539704252931122861165,209633077.902983926533575922554348798705,0.3650533030338975484355277652691989723979,149993405.126747420963836931981727026871,44313336.45908757982679174872862076521582,0.4616747352119340986955998576552645165778,40098361.8371689434107149536360261822132,58418972.31164393580585943856465896447657,0.4588151381312501444830948319780112446995,52534877.34727907634136801625310353876344,221655868.856701516996125114289067474209,0.3571765359938152904528030547399113730634,155173739.825034660074289202936090073309
1983,71648426.21244205548339512846403284171926,0.1934634080777793245593416331366576576363,27168243.48819794297565710910822414263723,14380288.78800241762522004955067762567336,0.1476466023312701168048751012132365818597,4161473.52897838994221057115398515991306,3657342.11789960420263042281366344694574,0.1997079117714729559660291300888918515834,1431584.30771918894751004673388683257917,39356882.58155645052394617557819621116832,0.2468666991623596803763136925959881566062,19043171.23676964379512393064835937933103,79755634.10163191745519563176824920222787,0.1861716508263422854733408119712959983758,29102546.60426896806730259431207841703782,21687002.28589441289107670280825385820901,0.1982780622467819889160012324233912836477,8428111.30680980433752241247318405171307,21327488.01509400549096187681459695106949,0.1523028701357699881212884422332716672166,6366545.7694707041750495557781806925317,86028715.00044447310861517801471046739258,0.17451963321328987107483089728693895415,29426851.5838689069173452426044328072367
1984,198084303.221195182044749871968324919637,0.5998903900559009660601957966490212164097,232904585.049695710351368263351506320474,19929789.06946721187491827548800679339474,0.2098281955822534032344140251483957740553,8196390.09041119549404243512655792430188,7289552.74613438176886984784147965120973,0.2893346169745792555941843235692059098368,4133875.10536881609597367027949651022454,153726969.945065665583396965778481272148,0.7417532690616197239900591287860419642212,223493865.699392049795017563793091518639,216832481.485509685810067712513030731427,0.5561180897989177736697996705380862351282,236345552.203758468021517986608749929275,28809693.4531910079632380677274184737521,0.4009305340359933829592977560616481873733,22639344.13193822098595593769971050981205,28187876.14627133860416326610895231592321,0.2314898178566893030669838743513523246832,12789404.37713984797796046667549424685554,218014092.290662393919668147456331713032,0.5556759605683743722660245492257111969361,237444572.696069853351001796269453383042
1985,19190618.81695002381449486012615028744412,0.193343488894749013765097454502899919431,7272347.14439194323653149434876773925333,12336596.5577871017563164334189956062015,0.2028735603802136022485810244174683573871,4905427.76263901146933529865447652100015,4581369.65722019757367534540581655879127,0.2523098059606930827001672890662795728614,2265611.99892497266048438453629902788206,8194164.63915239664362356324556447215481,0.2366200166034199604312245940326046913936,3800250.61101609777225059222860564778712,31430177.22664411755726174540307763056151,0.1680497937444596914293562033145445576301,10352396.20856714183657060208801614896845,6441767.6375959787817769221169109249086,0.2312036213052642951826001215878900134997,2919145.61062172546653335292960229206187,12309913.440768552571735462776853937791,0.1746338396152624298678380823335155446322,4213465.80100615985416679119824814326206,31527215.37473712557081129354514589364571,0.1678842956668380415932642293717595863231,10374131.72114792140055532761065291683169
1986,17705372.86350712148607628505363528783712,0.3396095361710801178584472741044541263415,11785310.39318689698812515814410041854535,16827388.06486369246846318181335854949118,0.4440482846829333615871654678118467836757,14645458.69955770454349206103419731332924,6594116.2308083841161299185646925484139,0.4076276775966136897092275700437100415739,5268370.79853445262986302967206657903467,5705721.57651677032983709047937787413289,0.3496748981878501733849563339005826334076,3910489.31825917442970793844144717496933,34407317.25249631492529023166555295527361,0.3834311277220486459760484728411271159524,25857959.45378932636080913166163378369775,6328771.14938185617158336791259315083059,0.373513685226923837196614997300679840383,4633209.96452836514530031434019383245383,15904151.9716638033369890899103302639508,0.4970870132995495961145437822785647464083,15495264.9092067457636927308875889945381,34532760.92837081395453946686699383732826,0.3823648849043435502636734712772963762241,25880065.70929920768196188635058724389547
1987,51070433.16244037674785816265612385163203,0.4895812112145029706892164383779452023296,49006124.06883708282283270543116570520447,31042508.41511510490729999840283369443677,0.3821376973502048244771445224790724145785,23250524.86402382708446798649226161408626,15831455.87398152632306905701469644307458,0.3906635102283716363824000174874017915295,12122153.3625601846162575647064191154289,17950896.97878700963447360745449135248878,0.3410081065301927832461638056406291682439,11997946.72293924407305551640861390812739,81570937.10577042153577826502193600596515,0.4449498348106314415244623393780123323894,71138150.98149947344053272982131401757607,20498842.57280961968191572419145134297889,0.655030493644355296397106622577014022074,26317639.26042660626008873516101821847011,27831746.15197732601569977239831840752626,0.4749446956483440168674729945913419609991,25908338.80280516806217977905752488072074,82112941.57755548165515816105895754606862,0.4419961405557827371183910614716748815496,71135462.40324549834246459831208039752011
1988,14940573.86020782663924444396751721089751,0.1932623184713653877728723666121370022936,5659401.88929222618124892223212814328912,22537960.5838488947389737277253597360352,0.1671859230393114402697990893582337878499,7385338.29752341625949004840610821094987,14138920.71876134770439134549314272283652,0.1831763788867728170358170124171512364514,5076235.945314546914041756618319429327,3103529.0034515524667828267781894757752,0.2474680102115662550811304276430376313191,1505327.32835136002515605962273585637883,37478534.44405672137821817169287694693276,0.1499169946680846561321475891363504309508,11012591.72689786611658847901618610324707,6745419.52252434647569105442272232831924,0.2583773861364874136857358260772882733331,3416013.17466279231205989313589812457701,13490665.19931947473135294499882242000187,0.1879543874794311311596123853932685665548,4969834.23988721235112162038689707977348,37478534.44405672137821817169287694693276,0.1499169946680846561321475891363504309508,11012591.72689786611658847901618610324707
1989,15244489.22880182537540147302648101202784,0.2407883855368901548183822111477729353131,7194564.06148589827077208250243282785576,20841938.93212101749659833656794360784443,0.1584559539153969892042730582618064484513,6472957.45727394512133628756632728040347,14153773.82207591416780236046562516464414,0.1722241354702980368273924051076365508614,4777738.06189235411764628455545204730434,6255185.40317939428880696337696775478634,0.4215357550247903067748552818864494704182,5168097.23142857574062455691052783741869,33979828.82416967972439991503534643631469,0.1617161316385706108623053371812097652702,10770369.48352361908589997872857232892606,4303598.61923590537445540928705505661171,0.2911578269524885896542118749355235970214,2455931.78722281487571426902406904517529,11373870.31643162904093507646477664383009,0.1818059957236319254707137181639344127049,4052962.12349621317500775737694220180273,36086428.16092284287199980959442461987236,0.1606784631435865244152835907808513413638,11364691.16178750675080623408458393712373
