SURVEY_YEAR,NUM_MALE_LE119,CV_NUM_MALE_LE119,CI_NUM_MALE_LE119,NUM_MALE_GE120,CV_NUM_MALE_GE120,CI_NUM_MALE_GE120,NUM_MALE_GE135,CV_NUM_MALE_GE135,CI_NUM_MALE_GE135,NUM_MALE_LE94,CV_NUM_MALE_LE94,CI_NUM_MALE_LE94,NUM_MALE_95TO109,CV_NUM_MALE_95TO109,CI_NUM_MALE_95TO109,NUM_MALE_110TO134,CV_NUM_MALE_110TO134,CI_NUM_MALE_110TO134,NUM_MALE_TOTAL,CV_NUM_MALE_TOTAL,CI_NUM_MALE_TOTAL,NUM_FEMALE_IMMATURE,CV_NUM_FEMALE_IMMATURE,CI_NUM_FEMALE_IMMATURE,NUM_FEMALE_MATURE,CV_NUM_FEMALE_MATURE,CI_NUM_FEMALE_MATURE,NUM_FEMALE_TOTAL,CV_NUM_FEMALE_TOTAL,CI_NUM_FEMALE_TOTAL
1994,263842.4227,0.340776386,176226.0838,451145.7422,0.28976053,256219.4892,384677.6257,0.323525973,243928.2778,0,0,0,199292.841,0.398492223,155656.6286,131017.6982,0.494067305,126873.8598,714988.1649,0.248393355,348092.6852,66209.83661,0.707106781,91762.15192,121462.4863,0.49559615,117984.8276,187672.3229,0.399596984,146986.8569
1995,1303771.357,0.46667285,1192532.001,196057.6462,0.516523729,198486.1162,196057.6462,0.516523729,198486.1162,970109.2454,0.613898905,1167276.048,333662.1111,0.362112453,236813.4827,0,0,0,1499829.003,0.407947373,1199228.552,971363.5299,0.567051479,1079593.728,256960.3247,0.425751508,214426.4419,1228323.855,0.522632733,1258246.016
1996,886703.2495,0.308042747,535359.3099,414724.7923,0.28271539,229808.1998,288213.5526,0.359032398,202816.8858,645107.7622,0.343358531,434146.3772,183090.5805,0.399836955,143484.5052,185016.1464,0.398757535,144602.1016,1301428.042,0.230012204,586714.8905,196029.7326,0.531481698,204204.9816,122715.2491,0.494082491,118837.6537,318744.9817,0.370656043,231563.7173
1997,125421.1757,0.707106781,173824.8811,387374.5405,0.271317325,205998.7909,258252.8838,0.341258493,172736.7402,125421.1757,0.707106781,173824.8811,0,0,0,129121.6567,0.494274622,125090.2537,512795.7162,0.313275612,314866.9276,123187.1587,0.494107189,119300.6149,317512.5149,0.359555326,223760.0992,440699.6736,0.285285764,246421.6721
1998,434921.5879,0.288462004,245898.3712,249522.0813,0.340873782,166708.8496,249522.0813,0.340873782,166708.8496,64679.55078,0.707106781,89641.28396,182374.9447,0.399067518,142648.6365,187867.0924,0.525247535,193406.3854,684443.6692,0.246372667,330511.2965,256193.5756,0.425839751,213830.9205,428118.8092,0.285955295,239948.7669,684312.3847,0.246183083,330193.6195
1999,125045.1308,0.494011794,121076.5881,373643.522,0.271214517,198621.593,189157.5878,0.398416492,147712.4649,0,0,0,62499.90921,0.707106781,86620.45487,247031.1558,0.34113846,165172.7832,498688.6528,0.261283861,255386.6211,248072.6635,0.432199035,210144.8611,565191.5419,0.26313441,291493.8324,813264.2054,0.242632283,386755.3358
2000,261628.2288,0.34063697,174675.6843,618579.9489,0.244570346,296521.1716,492190.1232,0.261527399,252293.557,135048.0875,0.493970085,130751.042,62192.34864,0.707106781,86194.19767,190777.6184,0.524667221,196185.7351,880208.1777,0.200447847,345814.2348,133715.1294,0.494103127,129495.3647,540614.1697,0.286993709,304099.6165,674329.2992,0.278564187,368174.2264
2001,65555.06605,0.707106781,90854.68622,332557.8461,0.301233412,196347.9679,197722.3544,0.398821714,154557.6979,65555.06605,0.707106781,90854.68622,0,0,0,134835.4917,0.495711451,131005.4145,398112.9122,0.271146565,211576.0192,146618.1051,0.499075607,143420.0988,469246.2842,0.247802333,227909.4345,615864.3894,0.212934812,257032.377
2002,308370.0598,0.356741911,215616.7081,553256.8583,0.267481376,290052.3756,553256.8583,0.267481376,290052.3756,0,0,0,183505.3447,0.39866872,143389.3681,124864.7151,0.495179936,121187.7831,861626.9181,0.226614353,382703.7729,60882.38402,0.707106781,84378.67933,365125.8754,0.271112449,194020.7339,426008.2594,0.2475683,206713.6354
2003,364261.9017,0.361953642,258418.0071,556380.3773,0.212488451,231719.8327,494711.8208,0.228709785,221765.0506,237960.6022,0.422812668,197201.0041,63150.64974,0.707106781,87522.33523,124819.2062,0.494048283,120866.7604,920642.279,0.189670365,342252.3726,118709.2286,0.494030798,114946.1892,345936.2566,0.313149858,212326.5834,464645.4852,0.256434228,233535.972
