SURVEY_YEAR,NUM_MALE_LE119,CV_NUM_MALE_LE119,CI_NUM_MALE_LE119,NUM_MALE_GE120,CV_NUM_MALE_GE120,CI_NUM_MALE_GE120,NUM_MALE_GE135,CV_NUM_MALE_GE135,CI_NUM_MALE_GE135,NUM_MALE_LE94,CV_NUM_MALE_LE94,CI_NUM_MALE_LE94,NUM_MALE_95TO109,CV_NUM_MALE_95TO109,CI_NUM_MALE_95TO109,NUM_MALE_110TO134,CV_NUM_MALE_110TO134,CI_NUM_MALE_110TO134,NUM_MALE_TOTAL,CV_NUM_MALE_TOTAL,CI_NUM_MALE_TOTAL,NUM_FEMALE_IMMATURE,CV_NUM_FEMALE_IMMATURE,CI_NUM_FEMALE_IMMATURE,NUM_FEMALE_MATURE,CV_NUM_FEMALE_MATURE,CI_NUM_FEMALE_MATURE,NUM_FEMALE_TOTAL,CV_NUM_FEMALE_TOTAL,CI_NUM_FEMALE_TOTAL
1976,370152.6881,0.361344467,262155.1462,164258.7986,0.354244544,114048.055,164258.7986,0.354244544,114048.055,257295.0219,0.53190314,268237.8188,54610.45054,0.707106781,75686.22301,58247.21561,0.707106781,80726.52223,534411.4867,0.2701781,282997.1088,62402.91745,0.707106781,86486.03115,0,0,0,62402.91745,0.707106781,86486.03115
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81230.73546,0.707106781,112580.0556,81230.73546,0.707106781,112580.0556,162461.4709,0.49159604,156536.2149
1980,78599.43682,0.707106781,108933.2618,224439.5387,0.395368977,173923.4042,224439.5387,0.395368977,173923.4042,78599.43682,0.707106781,108933.2618,0,0,0,0,0,0,303038.9755,0.335793332,199446.5961,146443.7646,0.493010262,141508.6264,78599.43682,0.707106781,108933.2618,225043.2015,0.395070423,174259.5089
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,701353.3423,0.291541826,400768.7151,655820.1255,0.252084665,324031.5051,295207.4365,0.294258817,170260.0865,62944.51646,0.707106781,87236.64907,443775.5642,0.319774612,278139.9912,555245.9507,0.22813359,248273.6935,1357173.468,0.17523567,466137.3961,0,0,0,909813.9693,0.225524956,402164.0802,909813.9693,0.225524956,402164.0802
1983,556891.5212,0.220611189,240798.7411,681296.1856,0.287135725,383423.9694,141569.4211,0.491608014,136409.4573,220565.8951,0.395640309,171038.9275,123937.8529,0.491661158,119433.4394,752114.5377,0.300929724,443613.8957,1238187.707,0.206873435,502050.3621,0,0,0,81966.57235,0.707106781,113599.8735,81966.57235,0.707106781,113599.8735
1984,419826.0979,0.41779727,343788.3069,979579.8274,0.242143435,464909.6953,325406.3355,0.360962135,230220.3567,71661.37121,0.707106781,99317.5934,117576.6733,0.492136846,113413.0738,884761.5453,0.258179314,447717.172,1399405.925,0.204479595,560853.9156,0,0,0,80291.95431,0.707106781,111278.9713,80291.95431,0.707106781,111278.9713
1985,133694.2239,0.491683768,128841.1483,63973.1632,0.707106781,88662.28073,63973.1632,0.707106781,88662.28073,0,0,0,68068.62988,0.707106781,94338.30796,65625.59399,0.707106781,90952.43296,197667.3871,0.394547626,152858.8288,0,0,0,0,0,0,0,0,0
1986,250707.5171,0.336513274,165358.1586,336438.2517,0.414612347,273403.248,195516.9912,0.522767796,200331.5736,54480.40967,0.707106781,75505.99556,130876.9903,0.491614023,126108.2889,206271.3776,0.525681947,212528.9531,587145.7688,0.308270402,354759.3379,62767.47315,0.707106781,86991.27956,121593.0558,0.494423769,117832.2539,184360.5289,0.395989604,143089.5117
1987,215867.3456,0.398312267,168525.9191,365442.2033,0.377207927,270181.4843,365442.2033,0.377207927,270181.4843,71865.27044,0.707106781,99600.18332,59480.53041,0.707106781,82435.80935,84521.54479,0.707106781,117140.8847,581309.5489,0.303199255,345455.1392,0,0,0,127586.6347,0.49630825,124111.7067,127586.6347,0.49630825,124111.7067
1988,358675.1407,0.305586566,214828.3567,460553.0364,0.318968596,287927.8325,138784.6976,0.497216916,135251.9546,166239.5202,0.492574208,160495.1881,49736.70562,0.707106781,68931.55717,464467.2537,0.268980804,244868.2395,819228.1771,0.204574318,328482.3695,132653.8343,0.506512848,131694.108,284118.3913,0.342413377,190680.4383,416772.2256,0.297254451,242819.3025
1989,198653.0575,0.397239161,154669.037,194801.647,0.395091221,150850.2644,134312.7854,0.491891199,129491.8631,76896.23875,0.707106781,106572.7497,0,0,0,182245.6804,0.51903478,185400.0194,393454.7045,0.307539389,237165.5261,164546.9834,0.501888329,161865.0526,300548.6628,0.294695771,173598.0229,465095.6462,0.245303099,223615.2301
1990,63302.96816,0.707106781,87733.43779,515986.036,0.281615129,284806.5696,325662.1376,0.360200759,229915.3485,0,0,0,63302.96816,0.707106781,87733.43779,190323.8985,0.394125874,147022.6826,579289.0042,0.279085678,316875.6785,0,0,0,191728.527,0.520784189,195704.4035,191728.527,0.520784189,195704.4035
1991,182140.3123,0.516770264,184484.4067,381897.7136,0.423185663,316762.729,120566.017,0.707106781,167095.9745,0,0,0,0,0,0,443472.0088,0.316202626,274844.9467,564038.0259,0.320404301,354211.6105,0,0,0,299516.4201,0.296182227,173874.4227,299516.4201,0.296182227,173874.4227
1992,317151.9392,0.359581468,223522.2413,320235.2416,0.290530492,182354.6804,186732.6067,0.392078899,143499.2733,126437.8527,0.490398154,121529.5835,124102.8002,0.490952048,119419.9069,200113.921,0.392071314,153779.4986,637387.1807,0.227974423,284803.6311,0,0,0,0,0,0,0,0,0
1993,55324.23655,0.707106781,76675.47994,172866.862,0.395037446,133846.212,116203.7795,0.492664403,112208.9527,0,0,0,55324.23655,0.707106781,76675.47994,56663.08255,0.707106781,78531.02583,228191.0986,0.335895349,150230.7244,57823.06227,0.707106781,80138.67571,0,0,0,57823.06227,0.707106781,80138.67571
1994,199292.841,0.394489622,154093.1566,385661.1992,0.317557906,240040.7348,319193.0827,0.363970214,227706.4781,0,0,0,199292.841,0.394489622,154093.1566,66468.11657,0.707106781,92120.10968,584954.0403,0.285578402,327418.4706,0,0,0,55977.94332,0.707106781,77581.47131,55977.94332,0.707106781,77581.47131
1995,1036142.203,0.57718832,1172176.388,196057.6462,0.514419508,197677.5209,196057.6462,0.514419508,197677.5209,902618.6657,0.658567928,1165093.98,133523.5372,0.492827994,128976.1084,0,0,0,1232199.849,0.487652558,1177735.399,901597.0971,0.609011174,1076202.105,256960.3247,0.422255094,212665.4997,1158557.422,0.552136051,1253775.387
1996,714720.0236,0.373171559,522757.843,124158.3528,0.492022023,119733.742,59579.03268,0.707106781,82572.32653,529714.2925,0.40664759,422197.7989,126500.8243,0.493072863,122253.2823,123084.2269,0.492235574,118749.4127,838878.3764,0.319664958,525593.6412,196029.7326,0.529574628,203472.2504,62371.52016,0.707106781,86442.51672,258401.2527,0.429452137,217503.1016
1997,125421.1757,0.707106781,173824.8811,326963.1859,0.294704315,188860.625,197841.5292,0.394861858,153115.3447,125421.1757,0.707106781,173824.8811,0,0,0,129121.6567,0.491862649,124479.8355,452384.3616,0.34181134,303075.0057,0,0,0,126584.0764,0.491636769,121977.4372,126584.0764,0.491636769,121977.4372
1998,186102.1641,0.394604133,143935.8991,249522.0813,0.335595971,164127.6659,249522.0813,0.335595971,164127.6659,64679.55078,0.707106781,89641.28396,60618.16552,0.707106781,84012.49117,60804.44782,0.707106781,84270.66526,435624.2455,0.31623031,270004.8763,192662.2533,0.521569083,196953.8824,306819.2821,0.356417675,214337.3975,499481.5354,0.311621796,305072.693
1999,125045.1308,0.491596075,120484.5231,187531.3037,0.394953338,145169.5842,62545.22163,0.707106781,86683.25468,0,0,0,62499.90921,0.707106781,86620.45487,187531.3037,0.394953338,145169.5842,312576.4345,0.358043721,219355.418,248072.6635,0.428815206,208499.5673,256247.3995,0.335543752,168525.1394,504320.063,0.3155961,311956.432
2000,261628.2288,0.335038243,171804.7059,434066.0075,0.278946341,237319.0041,307676.1819,0.293729875,177132.4257,135048.0875,0.491410563,130073.5511,62192.34864,0.707106781,86194.19767,190777.6184,0.522553021,195395.1848,695694.2363,0.216648565,295413.4702,133715.1294,0.491545615,128825.0876,415580.1132,0.312305189,254384.1386,549295.2426,0.304328536,327645.7854
2001,65555.06605,0.707106781,90854.68622,262456.2781,0.335789948,172735.1527,127620.7865,0.491738837,123001.9504,65555.06605,0.707106781,90854.68622,0,0,0,134835.4917,0.493178181,130335.9281,328011.3442,0.294357026,189242.79,146618.1051,0.496592699,142706.5818,267427.7606,0.335559648,175886.4117,414045.8657,0.264593693,214725.6926
2002,241742.7751,0.415508889,196874.693,432250.0514,0.317920403,269345.3763,432250.0514,0.317920403,269345.3763,0,0,0,183505.3447,0.394669567,141950.9907,58237.43045,0.707106781,80712.96069,673992.8265,0.272583317,360089.633,60882.38402,0.707106781,84378.67933,182352.0168,0.394703026,141070.79,243234.4008,0.335607063,159997.1185
2003,364261.9017,0.357180596,255010.2748,499760.4644,0.219262744,214774.5471,438091.908,0.239475312,205627.9046,237960.6022,0.419264083,195545.9342,63150.64974,0.707106781,87522.33523,124819.2062,0.491633084,120275.8925,864022.3662,0.189685758,321229.7655,118709.2286,0.491615349,114384.1866,183685.0867,0.394845314,142153.3038,302394.3154,0.294654936,174639.8759
2004,879194.9471,0.190963975,329073.3412,174319.9899,0.39452777,134797.1907,174319.9899,0.39452777,134797.1907,176796.0093,0.518799193,179774.3887,590334.3606,0.215039873,248813.0351,112064.5772,0.491617957,107982.1987,1053514.937,0.193568195,399696.89,463948.4752,0.251616819,228804.989,181394.6302,0.394435314,140234.9581,645343.1054,0.21829168,276111.1398
2005,554487.7746,0.36999046,402104.1662,556169.6908,0.231589187,252453.6575,307344.6535,0.294587027,177457.9057,302177.7288,0.417073083,247019.186,64627.12655,0.707106781,89568.62769,436507.9566,0.34608037,296090.9966,1110657.465,0.262031415,570413.2084,127886.829,0.491626079,123230.1006,317113.8552,0.412654257,256482.4295,445000.6842,0.378414775,330053.8741
2006,662988.0603,0.236248476,306994.6411,950340.9293,0.177156944,329984.6094,656996.4525,0.216625363,278951.3063,418105.0172,0.316411189,259294.4872,183934.5048,0.394538163,142235.5959,354293.0151,0.2636509,183082.9576,1613328.99,0.158870074,502367.0033,61169.39955,0.707106781,84776.46256,945988.1895,0.199479614,369862.5032,1007157.589,0.187211625,369561.1531
2007,129411.9894,0.491652842,124706.5137,930524.0237,0.199837395,364468.8541,619779.1168,0.209323555,254279.3608,129411.9894,0.491652842,124706.5137,0,0,0,310744.907,0.357415946,217687.7622,1059936.013,0.196246508,407697.1325,61882.96772,0.707106781,85765.41758,940578.7982,0.245094987,451841.0504,1002461.766,0.246442847,484217.0819
2008,511123.0083,0.31279662,313359.9968,1158638.117,0.144505767,328162.5848,713199.07,0.214264069,299513.3523,196575.0055,0.518132572,199629.7499,191431.7821,0.3944801,148011.4158,568555.2676,0.232139974,258689.4334,1669761.125,0.155519954,508975.101,325502.2655,0.293766945,187418.74,1304934.486,0.143223172,366317.8395,1630436.752,0.132339134,422910.351
2009,906387.4581,0.240990382,428124.0926,921634.5242,0.191214381,345410.3594,679227.6318,0.235542873,313574.9664,485554.6219,0.311263818,296225.7476,292815.6511,0.456012243,261713.9426,370424.0776,0.318002441,230879.6915,1828021.982,0.177777146,636961.8405,181676.6986,0.39452538,140485.0944,1584843.074,0.210566181,654080.1332,1766519.773,0.2009179,695653.8676
2010,1239928.404,0.24272758,589891.0501,900381.2738,0.231159506,407938.1126,833950.3785,0.248534427,406240.1437,327097.7772,0.357152292,228974.4929,651681.9065,0.295280231,377160.417,327579.616,0.355041624,227956.6216,2140309.678,0.172715806,724544.0113,131059.2186,0.491804564,126332.8228,1292509.74,0.226188069,573006.5545,1423568.959,0.203563951,567983.15
