"SURVEY_YEAR","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE","NUM_FEMALE_MATURE","CV_NUM_FEMALE_MATURE","CI_NUM_FEMALE_MATURE","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL"
1975,32649359.43524772001059205240455241841122,0.5471228321402564794279321614071347272676,35011891.60348475731125822958838045065475,82522011.82323007445787487809307223287159,0.2664349614158515366882255694093369472956,43094028.11071826845063006422398506204839,115171371.258477794468466930497624651283,0.2948823618530796510928105918623407593272,66565531.71013333995567423631437458779995
1976,33616738.24745766047582846636413342673646,0.5827150352151304940120827455513625156013,38394398.47090282499122425154953945051129,93110583.40824568962582838644027427229799,0.2159954610498803388531580011593240930917,39418468.248099238111096002256020444284,126727321.655703350101656852804407699035,0.2379497450762083645908002941953642913229,59103278.40904393289398933201132957946452
1977,15940998.20718511412355358031641117852858,0.2284891312450410635507352418305544651058,7138995.86981542832047215307525573747802,202121623.095939259387843067262298941122,0.1929781880805617834433102332406028597013,76449926.61003491025303501504361931265053,218062621.303124373511396647578710119651,0.1876204377008361913614061478486203586889,80189488.73196440757521452445855253845088
1978,27830560.25874882625281010779200843808401,0.6602737596768876916611055494548062243598,36016545.76567819712240279083277952294605,225292367.153662789876676850739687660399,0.2078573767287605590815894575887728237257,91784213.64980333036319392177625222124648,253122927.412411616129486958531696098483,0.1984897879728785382609071029231643359402,98474939.73860125666782561982833445346742
1979,22370836.51170085153416190099664992725851,0.4082021803334362932119945014505412528457,17898375.51031989853696404731305711234973,101288582.383181627199129654600689852095,0.2378489155871908110945478243607341076942,47219103.78315903467803185665380175703558,123659418.894882478733291555597339779353,0.20873133734204385867898836421583096966,50590727.92650290100757479694305419251614
1980,45573535.39392850729094252559415428318836,0.4457959704803785210226697932075855892464,39820336.9407501475555058348236799095584,113504599.433785405906559596861657784916,0.2977464528424233894210529458939088506347,66239360.05091109609957492870956359630865,159078134.827713913197502122455812068104,0.3016650420179462945682882694038236332444,94057091.9648001331731736919525250460297
1981,18832247.4027203818793017210571282216959,0.2423233626062557359173303227897433115122,8944447.29147785262641830796838168613226,122165602.05858427747122772460985391304,0.2051984431720825093181306099174196431655,49133655.04913923767691545182130799936416,140997849.461304659350529445666982134736,0.1947945623132523446676480643825089280253,53832604.17093238064704688786477121317861
1982,85231093.63114883753324568837883173884513,0.4108096278399777306525523381202772745451,68626957.55581283827017398248566472033267,127135971.936572571925713212764555196685,0.246969786149693444895291239178265976813,61541537.85017316033166885473069699993353,212367065.567721409458958901143386935529,0.2661068070292175535767390138054409259,110764150.603326031999532880193445262305
1983,29277423.65579874276799708312228617738331,0.2369011271417391484054809102796796549504,13594275.14117528111306596779763742868607,16683435.84791953123511116143217989849327,0.176570080997214789024266338917290150103,5773759.4131988173091369064854808300586,45960859.50371827400310824455446607587646,0.1960703048580344413433116128556550654469,17662657.07948540978326910487319617141128
1984,117031150.822890750885246351766317501695,0.7982264438553945098959050335655805161816,183098024.309654405476562160000183659677,35564066.97320653792217857996826966517425,0.3713447157868400138490901306350794809306,25884795.55108346980472876043277736141621,152595217.796097288807424931734587166869,0.6829768318902165075955967518376697609899,204269236.887473180185651342496781519255
1985,4956978.09613198807287612182759424144614,0.3126271040135442886902921414025547915,3037383.98543053891968848777909424331134,10244673.95879356419540301244518761806763,0.2085878394957023537620560940743975978744,4188352.23850916185115037030470493030771,15201652.05492555226827913427278185951374,0.2069099518843386196778215513720087536207,6164931.26668432251416379561559692491558
