"SURVEY_YEAR","NUM_MALE_GE25","CV_NUM_MALE_GE25","CI_NUM_MALE_GE25","NUM_MALE_LE67","CV_NUM_MALE_LE67","CI_NUM_MALE_LE67","NUM_MALE_GE68","CV_NUM_MALE_GE68","CI_NUM_MALE_GE68","NUM_MALE_GE78","CV_NUM_MALE_GE78","CI_NUM_MALE_GE78","NUM_MALE_GE102","CV_NUM_MALE_GE102","CI_NUM_MALE_GE102","NUM_MALE_68TO101","CV_NUM_MALE_68TO101","CI_NUM_MALE_68TO101","NUM_MALE_TOTAL","CV_NUM_MALE_TOTAL","CI_NUM_MALE_TOTAL","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE","NUM_FEMALE_MATURE","CV_NUM_FEMALE_MATURE","CI_NUM_FEMALE_MATURE","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL","GTOTAL","CV_GTOTAL","CI_GTOTAL"
2010,6446445018.276568480056415977783220220743,0.1200830870263261142681542314111480251151,1517253675.554657957612126002654032207923,6829691995.02891067131076072582733189193,0.1158646548901130293575712222802976576294,1550987015.779192880957227227186296192497,5705052.678357996484105881893416956698,0.3554180142501318841852426369035559742509,3974249.84850341511573874576236367615397,30813.0442298322373172785799748860352049,1,60393.5666904711851418660167507766290018,0,0,0,5705052.678357996484105881893416956698,0.3554180142501318841852426369035559742509,3974249.84850341511573874576236367615397,6835397047.707268667794866607720748848633,0.1157296119929225706710375754257964926606,1550473382.37151207980769602254052402233,5984287589.627029502346502752106415693704,0.1179731442021093453330802214623130407557,1383731036.605607293402057024676124541406,455601944.277612428821122537304342388555,0.1743649200924925907829035508303657122203,155704353.351582300143355709729560825409,6439889533.90464193116762528941075808227,0.1177442074872814551540958872494067563269,1486188991.371471224997255058856244084714,13275286581.6119105989624918971315069309,0.115545659124749486025732726032054237617,3006447406.758889713800932185519281867492
2017,7208598648.834199734637928022106909349736,0.2210250146062443796077376171701861937487,3122830018.432299691632386392803518396407,7314377544.786016506688319428129388548453,0.2230087250028190597545418390453365618591,3197093220.48588002844903191436061578437,2149114.28505081542361567309883945847751,0.3077671109161794297109602452966832085959,1296396.32129600873361706495717909740787,228953.1185613407999776656194659614687239,0.455055617704580420196845896459930273233,204205.3494729491101423784666086405902617,59894.2703368268227428519736131417383364,0.70090424037360710935065756221073179511,82281.0901842035438902680813141422087639,2089220.01471398860087282112522631673917,0.313220404150246273209919340417753494539,1282597.22124029799128053366552275127164,7316526659.071067322111935101228228006936,0.2229470229309473332785704864307140266984,3197147760.196217266782292927606333192243,4731722065.767056011842168695712859735228,0.2342892126222877649799363243156991175313,2172839216.786694215678114145490903508492,151238692.826709574273722958636297779663,0.1970023556354148495820951959766197607873,58396982.35016210040143651457371817206566,4882960758.593765586115891654349157514881,0.2278142171110965715569406366558628830529,2180319449.510360057722391347859172425704,12199487417.6648329082278267555773855218,0.2242094837256316966156017245269481596518,5361071920.238665132457693435449846990846
2018,4333073557.889112116208771416430181606759,0.3586123087040011404602819411436792868125,3045631284.262594667812571592096275079962,4318731435.072755683735792991110282588406,0.3595905899753790989153308212548955132865,3043831361.978734585541809852293916947501,22786071.35393724246464818608988965057059,0.8667106568436048168389359582170885501096,38707904.50531014249475154060744975078058,4914073.57660963013480773898266215973761,0.9144800390175206692410093083339338759166,8807891.50430296614598398200202482896926,0,0,0,22786071.35393724246464818608988965057059,0.8667106568436048168389359582170885501096,38707904.50531014249475154060744975078058,4341517506.426692926200441177200172238983,0.3578620760144203148539737690601607608908,3045182357.089499214671780673533200726599,2290446353.971721542107933505875809144324,0.3694819411829247146971379990284985816528,1658705987.480015001425102052294550276661,92817990.98755154525941557643660264352512,0.5176380407953482860702033295142330843944,94170401.09049869361754838793809839798317,2383264344.959273087367349082312411787844,0.3621452535886033943504088347817136471234,1691652226.324947311596220238871434247149,6724781851.385966013567790259512584026835,0.3481755728643495469223099808059660841547,4589153356.048416117648981188543075390467
2019,2222289611.357303271308178238086456849712,0.1672166711362089283443507660383968434757,728343587.379025552758677810721270798039,2196398785.238688990782790565462499768905,0.1623376116503725161864176711921331634041,698853940.733759350478706948428070428802,199543159.462088662180428575870893230743,0.2660360379759428442216379023441775932697,104047916.235051842518250661701149015335,65526318.93126422892811018419457124173686,0.3753348459213891498140935316122477863698,48204849.20692925404623082613596944126593,1447558.85064562725289523358541918592026,0.7176585930802919874890837076190607683152,2036151.974384320131160359227730869901,198095600.611443034927533342285474044822,0.2656088534898493808845159648286190009814,103127252.905185441374909452781557752148,2395941944.700777652963219141333392999648,0.1617211050635664606280418381603765196475,759449782.771714003155172031165383198657,868633032.823816433118600779997203580998,0.1646514577028457480602065258084551245198,280322522.32403905816642845047372564112,176759319.080004376578079937522586058844,0.2658842693550486038929701159427096519505,92115143.9143544166694745450289344685745,1045392351.903820809696680717519789639862,0.1549993606543633927168159966797342908097,317588886.508984846612539693217666071403,3441334296.6045984626598998588531826395,0.1528708614038617925860723515225103093415,1031116287.069171651663087200475993155731
2021,2109191917.378685051329592696172414993807,0.1604739183324983126799265297073091306619,663401771.334105561702027563650749992567,2234247105.090489661575565278098320625639,0.1623008885939046958876017223485059821198,710735769.369309454233508803963931720739,10522647.57637791570143194849907136788091,0.3815387832596031335173520789185577383151,7869004.37980324990551373201843996379641,4246078.98594163728717025904894832084768,0.4047228794441839640745881216032421168305,3368231.21453397072258985513678120655278,262793.0821887143799251743688467601290285,0.4971161162302001664437288918415150245141,256051.8057240422663700331140011616501344,10259854.49418920132150677413022460775189,0.3835432173043718746547764383025577895274,7712791.299481048646082201084905555856,2244769752.666867577276997226597391993523,0.1615857518185584360059642376251486881163,710936703.962701125727547233349421341761,1962656123.886192835863810255735128210001,0.1638655743134366819239382636052024468154,630359074.9239732649861106075299690696,47249534.32175649152044098510971738674007,0.1956578300471428932724936807530789071108,18119693.05802043827909661523876955994364,2009905658.20794932738425124084484559675,0.161594661039304745849815059087203976783,636588446.175824769477937402078067266307,4254675410.874816904661248467442237590272,0.1594151948437515357626974940577507885974,1329389422.858194014990191711198486675541
2022,3786070594.863667239590770963112002519352,0.1424921676340121186403343383665822987584,1057391395.519934601266860220054692417488,3885955597.972576225490154845276422452368,0.1391686692356946081226319435785057932713,1059974407.786528974751261798223300265409,5709377.80124820027012944967375461429466,0.5711580768792719317322788064816056331269,6391476.2004707311015637162460674214131,315376.4271834909373570459558503190002939,0.4148090627799295207211488732016704894072,256409.1603584184640886689562309911267516,0,0,0,5709377.80124820027012944967375461429466,0.5711580768792719317322788064816056331269,6391476.2004707311015637162460674214131,3891664975.77382442576028429495017706667,0.1390787722668972148324952672932844158101,1060846054.333227276188156850843903874389,3246506424.850941703005605850173842305181,0.1417041933744506637320142615138268379151,901685405.46820967682387214879675867889,150949523.176133096717640195409865929789,0.2207362276552765730099586061427725245329,65307255.49203423042869872591471633435763,3397455948.027074799723246045583708234972,0.1388252462238166546042517757809414748753,924439210.698081032442045196542235259043,7289120923.800899225483530340533885301652,0.1358447538085078421428749570512974419273,1940770121.253385755141513756363007776792
2023,2903225603.978406118010078264919387439075,0.2200069525810871539969633917300813749792,1251910442.861883602638214437915552424704,3205082194.971277905475224624575463944942,0.2089750692128076061541574356629827759039,1312773256.112645840597860944171704222565,1752320.80830489463833968130525785735775,0.2945172436357708221345399704491133861744,1011533.8410780244859283490516157887399,175051.767564138497520296531970578388515,0.4981871363216236555026067163845879913352,170928.7360300006217953749716201589016896,32236.0361162518617861042486167796294819,1,63182.6307878536491007643272888880737845,1720084.77218864277655357705664107772827,0.3011548239091722936683043319116496577077,1015303.18028754613301106858408185447468,3206834515.779582800113564305880721802295,0.2088457585594883035293201754662842755606,1312678222.564563214142684368621001481109,2299989090.775406344961667389440245241039,0.2249935463294627291430737179139224683866,1014266096.023165082140374266956962767919,220570098.221267191567210797294563025008,0.2368564656567568412218004820788221531537,102397169.632735989350103383521578552876,2520559188.996673536528878186734808266047,0.2137074868773106996228621470067495972547,1055778244.819743358411889945588278538519,5727393704.776256336642442492615530068355,0.2091575963273120195740574395685425767463,2347938685.001913375569600333245219400163
