"SURVEY_YEAR","NUM_MALE_LE89","CV_NUM_MALE_LE89","CI_NUM_MALE_LE89","NUM_MALE_GE90","CV_NUM_MALE_GE90","CI_NUM_MALE_GE90","NUM_MALE_LE93","CV_NUM_MALE_LE93","CI_NUM_MALE_LE93","NUM_MALE_GE94","CV_NUM_MALE_GE94","CI_NUM_MALE_GE94","NUM_MALE_94TO103","CV_NUM_MALE_94TO103","CI_NUM_MALE_94TO103","NUM_MALE_90TO104","CV_NUM_MALE_90TO104","CI_NUM_MALE_90TO104","NUM_MALE_LE103","CV_NUM_MALE_LE103","CI_NUM_MALE_LE103","NUM_MALE_LE104","CV_NUM_MALE_LE104","CI_NUM_MALE_LE104","NUM_MALE_GE104","CV_NUM_MALE_GE104","CI_NUM_MALE_GE104","NUM_MALE_GE105","CV_NUM_MALE_GE105","CI_NUM_MALE_GE105","NUM_MALE_105TO119","CV_NUM_MALE_105TO119","CI_NUM_MALE_105TO119","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_TOTAL","CV_NUM_MALE_TOTAL","CI_NUM_MALE_TOTAL","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE","NUM_FEMALE_MATURE","CV_NUM_FEMALE_MATURE","CI_NUM_FEMALE_MATURE","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL","POP_TOTAL","CV_POP_TOTAL","CI_POP_TOTAL"
2010,925339.7532768488513669176280051531517938,0.4635226366422329898465383940925787897922,840675.2075683663341108287594159733078322,999756.8111543059212067725680765747320955,0.2851687036188839903716556433300042521412,558794.7333912047607241813204261301150362,1120218.22216488456112734789389169906523,0.4009163123149771849302113556020872966381,880262.9668920352983047551748895392600618,804878.3422662702114463423021900288186515,0.2689434688994283523020987330889335751621,424274.8758857796989081506199017205806389,162602.0898785635758724341315331915574126,0.5251939543087820669871413743074130625405,167379.3637419017955774307840980795887288,517979.776188207536376822360100997996307,0.3578225692343387363075466905267691032653,363275.9144811006617383988562271738998011,1282820.31204344813699978202542489062265,0.372320098434146436360490477867903163265,936134.7783125445528767756591297953099592,1443319.52946505638774373998810615114809,0.3472468144887197162019493012957530513859,982328.6934363533849743812103735631857071,642276.252387706635573908170656837261239,0.261767670779620147645470123351262553564,329529.2308258030823326721040121725173864,481777.0349660983848299502079755767357888,0.3170714663223679065554817841731508718186,299405.1917976013175589138045315439709299,451519.7922098168035332122165335386021938,0.3044608903633374967184182941390171572968,269441.4311876251250515838314607290572451,30257.2427562815812967379914420381335952,1,59304.1958023118993416064632263947418466,1925096.56443115477257369019608172788389,0.2882842366258781741617136773247971445329,1087750.98727594685603902518960332935385,1321807.1259769356404415636612530010845,0.2806518286238057286635742412491174151393,727096.4705070720961740046444912242228636,921823.2145751550617412782205750413372312,0.2650445924858546705121176676123836738061,478875.5461721021800930186055881843905387,2243630.34055209070218284188182804242172,0.2466032131983536426864112427977612188958,1084441.44437054554335531196718001324609,4168726.90498324547475653207790977030562,0.2435660089042425403008167075485383016288,1990105.9419386690425637320942915427769
2017,1350506.71651575874738558893062047437233,0.5088840603929265817101648960724811042722,1347012.62931737837197260737304310319342,2748563.14712889359430956797955885540915,0.3559790418629883661926804507720200406611,1917724.51620513239103061629690609807047,1668482.94754779448149651138136213014351,0.4532697086398988553689348885874520972605,1482294.64783103176006029665004658046337,2430586.91609685786019864552881719963795,0.3266108449597068045623260540936681097305,1555957.85097222935849462206647804183288,703461.5257835155051153687997814164907653,0.3021097445129301617527902965984932701594,416544.2603851024496397785356494463964035,1087689.40211346766897869469161203148228,0.368361759936899765254685564121109866164,785299.8375573731787436881685267279229977,2371944.47333130998661188018114354663429,0.3746641796488219544149312975728967333193,1741817.955335535308154754764888028498,2438196.1186292264163642836222325058546,0.3737127629362910198337511972696269968687,1785922.61582399921735986487059074224496,1727125.39031334235508327672903578314718,0.3567255502951113011336677536964709160866,1207575.12036484445241901317988729720552,1660873.74501542592533087328794682392686,0.3617803216563882039446831099065595510286,1177708.0178965685163474615336958125931,894126.0055738835530412287346853067214829,0.419594252952420804088819719007064225204,735333.4613740471903433251684400221474555,766747.7394415423722896445532615172053755,0.3832407511927070430643533155691665749793,575944.0000922179496373771853816902561503,4099069.86364465234169515691017932978147,0.3390115468911471932513468053410570489875,2723678.74996655248228066807923608354829,2342964.08474570625347888663279245511904,0.4708064178914508627172821627599530186607,2162041.75485539743711422904885721509403,2393475.70798423193309349680415141415396,0.4294757204187542876533998977765301229477,2014761.81982297930752095178516293022971,4736439.792729938186572383436943869273,0.3669282803134361607256050031233112867726,3406350.06759086748579528876959010913418,8835509.65637459052826754034712319905446,0.3470921054703745317641248694770329938692,6010801.87308836874446872707348334974652
2018,570591.2693427791927210559200288706013251,0.4967908078532776459263833970331137276077,555590.4153956197633366847841836081939961,1494133.12158061121390323910712657314558,0.7389982482458897897176084592567140667972,2164157.04860870012356166599986757208365,677657.5650305330287854167508212627907158,0.4953376156347004305877759646197459658834,657911.7936589207147075460597757055572813,1387066.82589285737783887827633418095619,0.7221205920090674489912031672517951478682,1963193.85424098098165759397954919678017,556125.1127605518123063569490620978818842,0.7990730157794374100461614710707177908948,870993.7591683375014591347676645408571371,663191.408448305648370717779854490071275,0.8259936769132633931594058268816231466477,1073672.14352454367394739698638964551107,1233782.6777910848410917736998833606726,0.5816873624862925555988669633153144340352,1406644.5517821200611482261399395186902,1233782.6777910848410917736998833606726,0.5816873624862925555988669633153144340352,1406644.5517821200611482261399395186902,830941.7131323055655325213272720830743055,0.6845745426443944350527632780530575795083,1114929.42473412746009932245075309008907,830941.7131323055655325213272720830743055,0.6845745426443944350527632780530575795083,1114929.42473412746009932245075309008907,532933.9694147979348228978919785021940085,0.6588062513616091200607090996700460995707,688156.4520023139311837728277790417967261,298007.7437175076307096234352935808802966,0.7662239198746681103646117977963117422768,447547.696626699023740846810842142750428,2064724.39092339040662429502715544374691,0.6058527070230690036876634244312032794933,2451800.96853508714643638516338078615474,107066.2956877538360643608307923921893908,1,209849.939547997518686147228353088691206,1808945.09106127565798149213745915515887,0.6620594944919393891876235498445908303645,2347353.37420133871944522039803215463194,1916011.38674902949404585296825154734826,0.6795265232745214681164806025715520085537,2551881.89013624658728206370424776221556,3980735.77767241990067014799540699109517,0.6247223935487419471935564577513165845427,4874235.37490074859140697431643178449693
2019,432611.0251575929625053990777128591979011,0.682551287989026788434663464372772929049,578747.2563423539605771591286257810318169,447192.998621680777603290862482646862569,0.3722968246761945613481668435264846677548,326317.5254723841049856480933098661565485,464236.0807007714863226488463922471311487,0.7013460434646978613954172604182959390692,638156.6713287667552131601897290313074558,415567.9430785022537860410938032589293214,0.3682664096071803391010899820096699860034,299957.8401169077848083533531581829881613,97763.2532462123232355138576616034690006,0.5573028299627765415468956759450797308724,106788.1258929441871241688199118502260487,129388.3087893908470527636263409914022482,0.589848200580798152999363674569620258828,149586.1437866051275504694351529696948925,561999.3339469838095581627040538506001493,0.6340377032756289622139093028634549946664,698404.3831988305098794781510655504770989,561999.3339469838095581627040538506001493,0.6340377032756289622139093028634549946664,698404.3831988305098794781510655504770989,317804.6898322899305505272361416554603207,0.3932711856211706304733406973759697186617,244967.5172459735815312958821970215474333,317804.6898322899305505272361416554603207,0.3932711856211706304733406973759697186617,244967.5172459735815312958821970215474333,187860.9991965546403348695353558517063011,0.4485378564014399083464468627524029747072,165155.0289668682767935010388941657321782,129943.6906357352902156577007858037540193,0.4741201418775253352875841460884986207922,120753.4852389959892135324059330412293759,879804.0237792737401086899401955060604701,0.4548762770144774822448663857883044961805,784395.8785245827973635564730118851458006,193790.4114999744277437993300946416207859,0.5507545833571846939485552504138790370087,209192.6763948001469975862461964148899198,839942.5292879868541329372301875479683709,0.4268491707086934864717253879232978477678,702716.3932562977711820945650776222949253,1033732.94078796128187673656028218958916,0.4419934642058411634644876008520471911454,895530.2789826228679271612897450239445294,1913536.96456723502198542650047769564963,0.4396301640026765531078218768613105291809,1648847.19633343971390082461789266424282
2021,657440.4285262178051007600474139659081366,0.3854728652789184026481516528444088957187,496713.8736390342326498191267115923954259,226113.200364510572698352457420200248206,0.4623177263839192478638713418905082901401,204890.8357679077334222356317269940647582,657440.4285262178051007600474139659081366,0.3854728652789184026481516528444088957187,496713.8736390342326498191267115923954259,226113.200364510572698352457420200248206,0.4623177263839192478638713418905082901401,204890.8357679077334222356317269940647582,65644.7316246991201587069438153016553061,0.6950948121140884058765149325810700622193,89433.4522941019848463293487445538529923,65644.7316246991201587069438153016553061,0.6950948121140884058765149325810700622193,89433.4522941019848463293487445538529923,723085.1601509169252594669912292675634426,0.389207874835456966560085168358538282523,551603.6594744930829864988533236385120576,723085.1601509169252594669912292675634426,0.389207874835456966560085168358538282523,551603.6594744930829864988533236385120576,160468.4687398114525396455136048985929003,0.5188616353530757578311326315599026279226,163191.4269413672726869212089621990167975,160468.4687398114525396455136048985929003,0.5188616353530757578311326315599026279226,163191.4269413672726869212089621990167975,63661.0770694617802191041529831217759574,0.6961744701309745484962689165964682813285,86865.6645297273901562904950801677007958,96807.3916703496723205413606217768169427,0.7388718887118025570608354628427355958563,140195.3902364795904843687349858589968201,883553.6288907283777991125048341661563421,0.3490259455009100144383228895750982602995,604430.9558197194042165056122065390263232,673527.0810203452221630158598917066306292,0.3678971124757815505889982391602103147736,485665.7898319884877186947033298236032635,560286.3196046073532607842384866846681315,0.3757306859851731685886392443821495299471,412612.8558977683136449610101638163168011,1233813.40062495257542380009837839129876,0.2980407965764091986139464287908038868537,720744.3883478619468084752706206736933989,2117367.02951568095322291260321255745511,0.2922614503014346501650921760700393179112,1212896.52737871926576136178550352971275
2022,2262898.40545910124196566726936263244145,0.5363297620411570397520901024721308365995,2378773.13611345920015291365922488428615,858407.8527663395143490216765613900877626,0.5949863442588191480471587577152749851677,1001052.26239299376514906026963427131218,2480038.54395058865405874466115189015123,0.5375033381386068622134097859265835748933,2612736.83232826887995894206222555930739,641267.7142748521022559442847721323779755,0.6017625338462698698519480991411360360653,756346.1338470479765329528567618551273116,429017.7728854326735288607424263321710201,0.5953347657168187729408324980421364566232,500602.0228058368352504144534317922138074,646157.9113769200856219381342155898808067,0.5947993821594804332356558781778376768403,753295.2798703266640872531331889849868207,2909056.31683602132758760540357822232227,0.5430347757416215928776776490307231628753,3096248.73948028120464969221049830378894,2909056.31683602132758760540357822232227,0.5430347757416215928776776490307231628753,3096248.73948028120464969221049830378894,212249.9413894194287270835423458002069556,0.6501990053666843303444468677531956655267,270489.2135298536131116891713549749371301,212249.9413894194287270835423458002069556,0.6501990053666843303444468677531956655267,270489.2135298536131116891713549749371301,183689.2251114639992212263297664958361807,0.7077947717921955266789215181249947468037,254827.9754101696307424644842710888872167,28560.7162779554295058572125793043707746,1,55979.0039047926418314801366554365667182,3121306.25822544075631468894592402252922,0.5457832822619207600600499758531810222569,3338971.27813555270044867878606729349724,1873329.47407534113391831721897769672139,0.511192737220627493365825856076920418974,1876959.54627455824255710490014800892157,2036062.86199747345377996467987003335561,0.5356109113985212774896016573994413826165,2137453.47095113088181595100145641737078,3909392.336072814587698281898847730077,0.5146710636669429521112255747380952494944,3943620.17932006117387461045432922956363,7030698.59429825534401297084477175260621,0.5260298898919145938940910818506170367681,7248780.91054702194713896721963962279857
2023,1775057.27124935782036831450407829294742,0.3121208041214254233379398742195656807647,1085903.31361330814685567158218846859578,1645573.05998208219227046355656536096785,0.5811709152340963876314057821440748181167,1874464.03465454422841629479506384997309,1972757.565915435491871931490078927136,0.3025151073407121758246114557694854468802,1169706.37494781568512818483703771834765,1447872.76531600452076684657056472677927,0.6280844377557771802561883412796707140574,1782397.24942099384401289654991287563459,609562.2663783671876792127837784229534266,0.4637776302675313796311503001606586770201,554094.6330668711092671746111316598037183,807262.5610444448591828297697790571420096,0.4328368717297290134761878495927897638832,684849.4831105335574531923364554303586255,2582319.83229380267955114427385735008942,0.2984292897112386698787098692081168248879,1510454.15178302161115412835598435941668,2582319.83229380267955114427385735008942,0.2984292897112386698787098692081168248879,1510454.15178302161115412835598435941668,838310.4989376373330876337867863038258407,0.797876067229503972930195520765350501137,1310981.05265874807355716036573770290209,838310.4989376373330876337867863038258407,0.797876067229503972930195520765350501137,1310981.05265874807355716036573770290209,639478.3261446153249823657523898499740043,0.8464207299930969161319675731714320120514,1060884.71479497447219024812927858736059,198832.172793022008105268034396453851836,0.6763600787094259044037535908605315241191,263585.002318898893041455582714461190947,3420630.33123144001263877806064365391526,0.3442425082825990074422983903207933471691,2307951.67565607081467728596430699220268,2054755.98307455003146224719975528947887,0.3477527191376397614707431369905307718435,1400512.08134587739800565098066921494416,550581.5249292970354499325620319966555634,0.2682843336287242679550163358040611394373,289516.2991469288553095710817458073473425,2605337.50800384706691217976178728613443,0.2985308545847412255557872228055541756424,1524436.32018229435327114387574466852539,6025967.83923528707955095782243094004975,0.285502258868692554259604004528573848692,3372037.76274466694333744271703595410824
