"SURVEY_YEAR","NUM_MALE_LE89","CV_NUM_MALE_LE89","CI_NUM_MALE_LE89","NUM_MALE_GE90","CV_NUM_MALE_GE90","CI_NUM_MALE_GE90","NUM_MALE_LE93","CV_NUM_MALE_LE93","CI_NUM_MALE_LE93","NUM_MALE_GE94","CV_NUM_MALE_GE94","CI_NUM_MALE_GE94","NUM_MALE_94TO103","CV_NUM_MALE_94TO103","CI_NUM_MALE_94TO103","NUM_MALE_90TO104","CV_NUM_MALE_90TO104","CI_NUM_MALE_90TO104","NUM_MALE_LE103","CV_NUM_MALE_LE103","CI_NUM_MALE_LE103","NUM_MALE_LE104","CV_NUM_MALE_LE104","CI_NUM_MALE_LE104","NUM_MALE_GE104","CV_NUM_MALE_GE104","CI_NUM_MALE_GE104","NUM_MALE_GE105","CV_NUM_MALE_GE105","CI_NUM_MALE_GE105","NUM_MALE_105TO119","CV_NUM_MALE_105TO119","CI_NUM_MALE_105TO119","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_TOTAL","CV_NUM_MALE_TOTAL","CI_NUM_MALE_TOTAL","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE","NUM_FEMALE_MATURE","CV_NUM_FEMALE_MATURE","CI_NUM_FEMALE_MATURE","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL","POP_TOTAL","CV_POP_TOTAL","CI_POP_TOTAL"
2010,879682.2098033119858852413089178176824719,0.4811904974932291700598641730826010938867,829657.6515355498302641066197346429732062,965165.101700133381162082424149488691741,0.3059071683503991117574155588633581895809,578691.8095733570530895375642449832145305,1070464.85279093709213562715863805350729,0.4167876944459961932264072964357222885275,874466.8928412064727530880798772373015034,774382.4587125082749116965744292528669282,0.2929062744474264516804086917725962238877,444570.1027186809102179281346994369439081,155885.6337681063737578968157650764306944,0.5323712362558454118543867049517058775521,162658.4940247593934310834085015523573255,498592.3586838921031711213611297016512293,0.3718634916039490432827333708814795191622,363400.2589589916954968163291234756813749,1226350.48655904346589352397440312993798,0.3900233345841300181230784964672538925886,937478.4000277917666210678946036214037144,1378274.5684872040890563626700475193337,0.3687296465234874150327669565660933698323,996092.9611231738642865367919689638574939,618496.8249444019011537997586641764362338,0.2875945792957046348737375632234613178189,348637.6149646041082813589181601154700388,466572.7430162412779909610630197870405123,0.3342687514666438183275859163521804286734,305682.9490217562128332190719496841163378,435886.3195116436458956877809189965929658,0.3226531138884353882943884389010582961019,275654.553451930535500006551096493549099,30686.4235045976320952732821007904475469,1,60145.3900690113589067356329175492771919,1844847.31150344536704732373306730637421,0.312498427984480917182918743983159791055,1129963.29404379640492519679571616783073,1261502.62168045686552351225604615343269,0.3110112281773408723364846872293831560212,768989.3002468376059129031791985133417852,900289.3381291804367634142800495930248884,0.2835762099241040526904030375793725761867,500389.2511498362063272001930104821831521,2161791.95980963730228692653609574645757,0.2703455064111477935841315973870233715691,1145484.25457535674706868907133666949757,4006639.27131308266933425026916305283179,0.2695944109282987806451999988361200099578,2117128.40613760404322837919106377460336
2017,1350506.71651575874738558893062047437233,0.5250105367964527061767101378298230651924,1389699.30212290043172117580162330275968,2748563.14712889359430956797955885540914,0.3764161210627022426408339445824190998946,2027822.81754277691482710320152885458921,1668482.94754779448149651138136213014352,0.4733835504665911896851002686265286287549,1548071.46794215085198223785278146280507,2430586.91609685786019864552881719963794,0.3481765999552750752870875008796565987388,1658696.03715106759028857047190918564372,703461.5257835155051153687997814164907654,0.3279053421964805056386653512185058146522,452110.8329748398140628818143920916147529,1087689.40211346766897869469161203148228,0.3915756584396901268458811391174826076687,834788.8798684898092794495648506205702592,2371944.47333130998661188018114354663429,0.3987385964749140995117495905389623979707,1853740.18801660948667096384331310502673,2438196.11862922641636428362223250585461,0.3980048104273210955957631544991342224325,1902011.01660012449968477083459638754707,1727125.39031334235508327672903578314718,0.3752803369284508821331881098935842337961,1270386.14885316777871987654492387191978,1660873.74501542592533087328794682392686,0.3795275160207242929047848102139264251904,1235480.68226469513750109299389285829451,894126.0055738835530412287346853067214828,0.4335749073418377950721685557229732847347,759834.3760365032465854546367789378136225,766747.7394415423722896445532615172053755,0.3998380106766349054479534496288909025569,600886.7860250616713870041578666266727434,4099069.86364465234169515691017932978148,0.3630979282653570675627085809804659679193,2917192.99959649258651050124157199249246,2342964.08474570625347888663279245511904,0.4895700564175573827326355721883176876682,2248208.3159404015703828539590268740944,2393475.70798423193309349680415141415395,0.4470089383444061156204566443819322620187,2097013.86895114832481010222655665568162,4736439.79272993818657238343694386927299,0.3912278140029797693039745163679538098355,3631932.89308226220170498211796180610246,8835509.65637459052826754034712319905445,0.3719008202951698261989499289990918334803,6440429.2463059444167851997354560029919
2018,570591.2693427791927210559200288706013251,0.4967908078532776459263833970331137276077,555590.4153956197633366847841836081939961,1494133.12158061121390323910712657314558,0.7389982482458897897176084592567140667972,2164157.04860870012356166599986757208365,677657.5650305330287854167508212627907158,0.4953376156347004305877759646197459658834,657911.7936589207147075460597757055572813,1387066.82589285737783887827633418095619,0.7221205920090674489912031672517951478682,1963193.85424098098165759397954919678017,556125.1127605518123063569490620978818842,0.7990730157794374100461614710707177908948,870993.7591683375014591347676645408571371,663191.408448305648370717779854490071275,0.8259936769132633931594058268816231466477,1073672.14352454367394739698638964551107,1233782.6777910848410917736998833606726,0.5816873624862925555988669633153144340352,1406644.5517821200611482261399395186902,1233782.6777910848410917736998833606726,0.5816873624862925555988669633153144340352,1406644.5517821200611482261399395186902,830941.7131323055655325213272720830743055,0.6845745426443944350527632780530575795083,1114929.42473412746009932245075309008907,830941.7131323055655325213272720830743055,0.6845745426443944350527632780530575795083,1114929.42473412746009932245075309008907,532933.9694147979348228978919785021940085,0.6588062513616091200607090996700460995707,688156.4520023139311837728277790417967261,298007.7437175076307096234352935808802966,0.7662239198746681103646117977963117422768,447547.696626699023740846810842142750428,2064724.39092339040662429502715544374691,0.6058527070230690036876634244312032794933,2451800.96853508714643638516338078615474,107066.2956877538360643608307923921893908,1,209849.939547997518686147228353088691206,1808945.09106127565798149213745915515887,0.6620594944919393891876235498445908303645,2347353.37420133871944522039803215463194,1916011.38674902949404585296825154734826,0.6795265232745214681164806025715520085537,2551881.89013624658728206370424776221556,3980735.77767241990067014799540699109517,0.6247223935487419471935564577513165845427,4874235.37490074859140697431643178449693
2019,432611.0251575929625053990777128591979012,0.6867339944998897308770872431789160743011,582293.846847485562875905243401233531152,447192.9986216807776032908624826468625687,0.3965849292205090883721073188871793737817,347606.0072643215194178866690092792578273,464236.0807007714863226488463922471311488,0.7052701395659389937801454076963254859037,641727.2170376601429503185271036431266211,415567.9430785022537860410938032589293211,0.3925311667857417125895166868888653331525,319721.8043676961655479728357484976655806,97763.2532462123232355138576616034690005,0.5734751130340884932105658982027731404055,109886.9937036655885326501497104429672465,129388.3087893908470527636263409914022481,0.6043325521671401697497037490347061986545,153259.3910677138666382674177381469584664,561999.3339469838095581627040538506001493,0.6411785479228302730061286682883467157924,706270.1570725007115283466364011417377926,561999.3339469838095581627040538506001493,0.6411785479228302730061286682883467157924,706270.1570725007115283466364011417377926,317804.6898322899305505272361416554603206,0.4139831880521361447764027337296579044369,257868.9654023956969342709121333359220211,317804.6898322899305505272361416554603206,0.4139831880521361447764027337296579044369,257868.9654023956969342709121333359220211,187860.9991965546403348695353558517063009,0.4619710301734497360180471887638372820559,170101.2250833620823163960750448317904374,129943.6906357352902156577007858037540191,0.4953311957763114385951321212109400184167,126155.7207857242550631647165148700578267,879804.0237792737401086899401955060604699,0.4705346848819828253797521495534408099104,811397.4858102869437007237294332227073154,193790.4114999744277437993300946416207856,0.5672832969608440170140534571389362136626,215470.7645680041432720900275692703602593,839942.5292879868541329372301875479683709,0.4487270368623558922790799946175582898687,738733.6477120590047078798582855238958169,1033732.94078796128187673656028218958916,0.4632760799247232175159371749771910761651,938651.339214713339293474255143449106,1913536.96456723502198542650047769564963,0.4587737840372748586219548022715740047174,1720645.96449423386042038283843137586569
2021,657440.4285262178051007600474139659081369,0.4102058101331171069668015038276220890637,528584.3318518072636993593719167066256272,226113.2003645105726983524574202002482061,0.4702024744411878422491155173875390789736,208385.2131778095773873737412675753704942,657440.4285262178051007600474139659081369,0.4102058101331171069668015038276220890637,528584.3318518072636993593719167066256272,226113.2003645105726983524574202002482061,0.4702024744411878422491155173875390789736,208385.2131778095773873737412675753704942,65644.7316246991201587069438153016553063,0.7048875714622637586422752669914035048781,90693.424690283404509193644300523420927,65644.7316246991201587069438153016553063,0.7048875714622637586422752669914035048781,90693.424690283404509193644300523420927,723085.1601509169252594669912292675634426,0.4139297413313833465061433824049731446647,586640.6484715886501712216671728929208882,723085.1601509169252594669912292675634426,0.4139297413313833465061433824049731446647,586640.6484715886501712216671728929208882,160468.4687398114525396455136048985929004,0.5220973976928483735681400695727039150039,164209.133083991024545489058170784291915,160468.4687398114525396455136048985929004,0.5220973976928483735681400695727039150039,164209.133083991024545489058170784291915,63661.0770694617802191041529831217759575,0.7059240321247697097043178910308356985214,88082.1730599891490124740514273825155861,96807.3916703496723205413606217768169429,0.7367048280133529797136357043585645170664,139784.2067486154601603753003980734839049,883553.6288907283777991125048341661563423,0.3723398103156273545493197662870056022035,644805.0935463216985035011165542160770218,673527.0810203452221630158598917066306289,0.3938118420713985028055981463631058767829,519876.163304724664535596138942021683692,560286.3196046073532607842384866846681313,0.383234220950712996531604447781049070462,420852.9467579072307898383281200410716548,1233813.40062495257542380009837839129876,0.3128746852219902443659934784493677710093,756616.7995126825418255644272743900111945,2117367.0295156809532229126032125574551,0.3114353098472998815221797694142132480904,1292468.7995194391804695970972380274082
2022,2262898.40545910124196566726936263244145,0.5528301410025142414224557562278262597659,2451956.95134606638118053984170333391651,858407.8527663395143490216765613900877624,0.6073250599522513823990845012380149926884,1021811.89726380902552105396215167817951,2480038.54395058865405874466115189015123,0.554010675090419381836886405177879168483,2692976.94284927962435785773635232281686,641267.7142748521022559442847721323779756,0.6131863209098790686314805260354496374763,770704.5172515888354794768695942276257147,429017.7728854326735288607424263321710201,0.6058999079711657802729959782352160272294,509485.9850541851910542780791220645083076,646157.9113769200856219381342155898808064,0.6065546185622255277772627555509554737425,768182.9283137364950324779079481552897205,2909056.31683602132758760540357822232226,0.5587382750764226380946458542901184368083,3185786.17279549435417450202675340517591,2909056.31683602132758760540357822232226,0.5587382750764226380946458542901184368083,3185786.17279549435417450202675340517591,212249.9413894194287270835423458002069554,0.6618689787911513022539345726174510371329,275344.0378335576394834582228863536500414,212249.9413894194287270835423458002069554,0.6618689787911513022539345726174510371329,275344.0378335576394834582228863536500414,183689.2251114639992212263297664958361804,0.7170847429041188931541555219526777138413,258172.6518960895247512867441446623606147,28560.7162779554295058572125793043707746,1,55979.0039047926418314801366554365667182,3121306.25822544075631468894592402252921,0.5614223756549378722295696176704720797563,3434647.50229352175177515738328826132332,1873329.47407534113391831721897769672139,0.5289063519679152208694556262222361402923,1941999.0820076373041683955289860417296,2036062.86199747345377996467987003335561,0.5438416686197890681587815777313517510369,2170299.81559563898652548440627188935963,3909392.336072814587698281898847730077,0.5273875768747124687076261448722217966829,4041059.30430106600201966076202519997929,7030698.59429825534401297084477175260621,0.540132505751607459813309609505309946657,7443117.34388833693903916678039093523064
2023,2120636.63360667008855059766207511579893,0.3454895883313187298669813098829593905868,1436009.43998836079624639600097118954412,1979416.1903004080925196900215563093969,0.5942380321434817563551425284063762235941,2305438.98816544172626624893733028436971,2359667.79267070984842677674794101303536,0.3353912980189340215912256051435849750209,1551167.60599951243661638212106697517114,1740385.03123636833264351093569041216047,0.6405008807017605084411803351462011731064,2184847.56472342758335366348866311084808,732711.5126582865876248392505301797066259,0.4852914638287148954341439375368632499701,696934.1393825000490843730196519182602297,971742.6717223263475010183363960769430576,0.4530196738894104060662639151900912455545,862828.3545662224390656256812481816418377,3092379.30532899643605161599847119274198,0.3327387425673683939784506016119023583575,2016750.62712918400257037487705672639209,3092379.30532899643605161599847119274198,0.3327387425673683939784506016119023583575,2016750.62712918400257037487705672639209,1007673.51857808174501867168516023245384,0.8037781369441332324150769863128327347406,1587494.0490848347446906299772404791873,1007673.51857808174501867168516023245384,0.8037781369441332324150769863128327347406,1587494.0490848347446906299772404791873,768671.4836294839862903973261335385049843,0.8507671226035613839785834834528198242938,1281762.43565553859449747639475524164466,239002.0349485977587282743590266939488589,0.6867140161032558476363874050004242946247,321687.0526617484652138493199476868035979,4100052.82390707818107028768363142519583,0.3742472080572211294924911400478886425654,3007489.31157932465596158444248221649885,2469876.2498000460812967939528652711504,0.3792089430742428864222892244045459519584,1835734.35793326634835249299717046926884,666035.1087763206636983052598224290557126,0.2919511129078607684095255407023734611143,381121.3948361916484463136918916778423555,3135911.35857636674499509921268770020611,0.3315404393839060280540006458891407334889,2037775.60219512502653586218570403271086,7235964.18248344492606538689631912540197,0.3213541420355632194768239441345923173542,4557601.84085758478930545941615222256139
